GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "02000","Alaska",8,SASUMMARY,1,"..."," Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),53550.9,52479.6,52325.3,50344.6,51021.8,50315.1
 "02000","Alaska",8,SASUMMARY,2,"..."," Real personal income (millions of constant (2012) dollars) 2/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),32874.4,32771.5,35717.2,36862.9,37973.4,37516.9,38785.7,39586.9,38320.5,38217.1,38939.2,39945.8,41161.8,40052.1,(NA)
 "02000","Alaska",8,SASUMMARY,3,"..."," Real PCE (millions of constant (2012) dollars) 3/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),27132.4,27160.9,28769.3,29231.9,30101.0,30479.9,30847.5,31106.5,31276.5,31655.1,32365.2,33391.5,31986.2,32965.8,(NA)
 "02000","Alaska",8,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),53550.9,54762.0,54469.9,51261.5,58646.0,65698.8
 "02000","Alaska",8,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",18155.9,18706.6,20092.2,21287.1,22331.5,23372.1,24429.2,26019.6,27696.2,29761.3,32860.7,32995.4,35374.3,37870.6,38997.1,38565.1,40642.1,41918.6,41285.5,41919.4,43522.7,44507.6,45366.3,48207.9,50349.7
 "02000","Alaska",8,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",16187.6,16719.1,17933.0,18968.7,20293.0,21450.3,22543.5,23868.0,25276.3,26972.1,29693.1,30530.9,32703.9,34789.2,35945.3,35184.4,37075.5,38075.3,37704.1,38525.4,40309.8,41045.3,42025.7,44143.4,45685.6
 "02000","Alaska",8,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",14946.5,15883.5,17107.7,18123.5,19432.2,20557.2,21847.5,23354.8,24275.1,25617.0,26749.3,27166.7,28537.5,29947.6,31039.1,31673.2,32641.4,33274.4,33976.4,34926.8,36077.1,36844.1,35006.0,39632.5,43412.8
 "02000","Alaska",8,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),47820,46890,50023,51021,51940,50832,52581,53559,51547,51509,52783,54361,56198,54666,(NA)
 "02000","Alaska",8,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),39468,38863,40292,40459,41172,41297,41819,42085,42072,42665,43872,45442,43671,44994,(NA)
 "02000","Alaska",8,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",29287,29941,31996,33591,34766,36045,37054,39013,41013,43747,47800,47211,49543,52415,53340,52252,55098,56714,55535,56499,58997,60569,61898,65662,68635
 "02000","Alaska",8,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",26112,26760,28557,29933,31592,33081,34194,35787,37430,39647,43193,43684,45803,48150,49166,47672,50262,51514,50718,51925,54641,55857,57340,60126,62277
 "02000","Alaska",8,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",24110,25423,27243,28599,30252,31704,33138,35017,35947,37656,38911,38871,39968,41449,42455,42914,44251,45018,45703,47074,48904,50140,47762,53982,59179
 "02000","Alaska",8,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),106.228,107.289,103.817,105.107,103.550,102.644,103.412,104.430,105.048,104.947,104.514,102.820,100.789,104.439,(NA)
 "02000","Alaska",8,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),100.200,100.918,99.402,103.183,103.550,104.034,106.397,107.683,109.406,111.300,113.207,113.033,112.022,120.753,(NA)
 "02000","Alaska",8,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",382166,381307,389734,394565,402192,405625,413869,421422,431321,439844,443602,442505,443940,450420,459282,461205,461371,461707,457142,455550,454776,454743,430840,443047,457687
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: October 4, 2023."
"U.S. Bureau of Economic Analysis"
