GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "12000","Florida",5,SASUMMARY,1,"..."," Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),1014866.9,1050433.8,1079271.0,1068377.5,1164778.2,1218430.2
 "12000","Florida",5,SASUMMARY,2,"..."," Real personal income (millions of constant (2012) dollars) 2/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),761128.9,724751.6,760220.1,777404.8,791477.4,785341.8,829811.8,880225.7,904603.2,958599.0,1002847.5,1063735.1,1107489.2,1160013.8,(NA)
 "12000","Florida",5,SASUMMARY,3,"..."," Real PCE (millions of constant (2012) dollars) 3/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),666726.3,655278.8,667768.5,679275.7,691302.8,705794.5,733711.4,767136.1,791447.7,816441.0,851835.6,878524.3,853048.5,941446.9,(NA)
 "12000","Florida",5,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),1014866.9,1072085.6,1127988.6,1140133.0,1292391.3,1439065.0
 "12000","Florida",5,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",416721.5,435930.4,471588.1,497335.4,514288.8,540366.3,587003.0,637602.8,690506.1,719734.2,725995.0,685982.8,730690.1,769798.4,794071.1,794604.1,848535.3,905450.5,938985.6,1011002.2,1078010.6,1145460.8,1221121.6,1376879.5,1441598.9
 "12000","Florida",5,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",365875.4,382262.7,412100.4,437155.5,462050.1,492575.7,531753.4,568078.5,614602.2,640772.6,652289.8,631940.5,672161.8,699989.8,720430.1,712530.1,757871.4,802776.3,842025.1,890172.4,964243.6,1023037.4,1086281.1,1211086.7,1242567.8
 "12000","Florida",5,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",358107.1,380707.7,412229.5,432668.8,447872.2,473974.7,513459.4,557056.5,601060.1,630049.5,639599.5,620446.5,643275.8,673659.9,699466.2,723026.7,763955.0,804074.9,835530.6,878744.1,929973.5,966780.8,964080.3,1114052.2,1234950.8
 "12000","Florida",5,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),41081,38855,40345,40832,41069,40258,41919,43693,44045,45928,47453,49813,51344,53258,(NA)
 "12000","Florida",5,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),35986,35131,35439,35678,35871,36180,37065,38080,38536,39117,40307,41140,39548,43223,(NA)
 "12000","Florida",5,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",26909,27662,29387,30405,30815,31779,33706,35736,38009,39184,39185,36777,38778,40433,41204,40733,42865,44945,45720,48439,51009,53640,56561,63078,64806
 "12000","Florida",5,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",23625,24256,25680,26726,27685,28968,30534,31839,33831,34886,35207,33879,35672,36766,37382,36526,38285,39849,40999,42650,45626,47907,50315,55483,55859
 "12000","Florida",5,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",23124,24157,25688,26452,26836,27874,29483,31222,33085,34302,34522,33263,34139,35383,36295,37064,38593,39913,40682,42102,44005,45273,44655,51038,55516
 "12000","Florida",5,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),101.779,100.873,100.774,101.224,101.290,101.015,101.035,101.517,101.479,100.959,100.463,99.843,100.713,101.430,(NA)
 "12000","Florida",5,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),96.004,94.884,96.488,99.371,101.290,102.382,103.952,104.680,105.688,107.070,108.818,109.760,111.937,117.274,(NA)
 "12000","Florida",5,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",8317201,8577884,8881279,8938947,9055665,9283343,9644269,10067135,10383831,10531299,10269510,9841868,9805140,10036679,10249034,10539527,10937534,11367164,11682273,12098388,12556216,12761155,12719592,13458025,14227252
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: October 4, 2023."
"U.S. Bureau of Economic Analysis"
