GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "13000","Georgia",5,SASUMMARY,1,"..."," Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),583543.3,600934.7,620792.4,602321.8,639236.0,655827.3
 "13000","Georgia",5,SASUMMARY,2,"..."," Real personal income (millions of constant (2012) dollars) 2/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),377128.3,380311.4,371842.1,391834.2,388674.5,390997.7,411246.1,436653.2,447343.6,465347.3,481891.4,504912.8,533033.1,545636.2,(NA)
 "13000","Georgia",5,SASUMMARY,3,"..."," Real PCE (millions of constant (2012) dollars) 3/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),314573.7,315539.0,311177.6,321061.5,320127.0,328386.8,339990.6,353783.0,363854.3,376182.3,390255.1,400908.4,390983.9,424021.6,(NA)
 "13000","Georgia",5,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),583543.3,612803.4,646939.0,637930.6,701606.1,767377.6
 "13000","Georgia",5,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",205294.0,218718.6,236616.8,248742.5,255977.2,265622.8,280462.4,297084.9,316548.8,331363.7,335257.5,329158.9,337420.5,360456.2,369040.2,374124.6,398585.7,423242.0,441039.1,467592.5,491088.0,516552.1,552248.9,606113.6,617553.0
 "13000","Georgia",5,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",177696.0,189089.3,204163.4,215668.7,227556.4,238596.7,252658.5,265059.9,280546.2,292649.9,297774.6,299789.2,306298.0,324492.2,332462.4,333490.4,355074.7,375453.3,392132.8,414875.6,438862.0,460334.6,494389.0,535060.9,533857.7
 "13000","Georgia",5,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",161380.3,174395.0,188709.6,197694.0,205273.8,216655.7,230229.2,247103.8,261997.1,277091.5,282133.9,275032.5,283317.5,296156.1,305937.0,317022.1,333433.2,346858.4,361258.0,380330.8,399888.2,415860.9,412232.0,471227.9,517334.8
 "13000","Georgia",5,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),39677,39530,38285,39961,39232,39176,40808,42845,43355,44623,45753,47441,49696,50524,(NA)
 "13000","Georgia",5,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),33096,32797,32039,32743,32313,32903,33737,34714,35263,36073,37052,37669,36453,39263,(NA)
 "13000","Georgia",5,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",26107,27184,28760,29693,30086,30805,31982,33283,34574,35440,35272,34213,34741,36761,37251,37486,39551,41529,42744,44838,46626,48535,51469,56184,56589
 "13000","Georgia",5,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",22597,23501,24815,25745,26745,27670,28812,29696,30641,31299,31329,31160,31536,33093,33558,33414,35234,36840,38004,39783,41667,43253,46076,49598,48920
 "13000","Georgia",5,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",20523,21675,22937,23600,24126,25126,26254,27684,28615,29635,29683,28587,29170,30203,30881,31764,33086,34034,35012,36470,37967,39074,38419,43681,47406
 "13000","Georgia",5,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),94.780,92.300,95.152,94.049,95.706,95.311,95.327,95.095,95.503,95.309,94.763,94.313,94.417,95.784,(NA)
 "13000","Georgia",5,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),89.402,86.819,91.105,92.327,95.706,96.601,98.079,98.058,99.465,101.079,102.645,103.681,104.939,110.746,(NA)
 "13000","Georgia",5,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",4607959,4728750,4860810,4871814,4858410,4895367,5021804,5195948,5358151,5490802,5451004,5247101,5211443,5325710,5384734,5497190,5671135,5832928,5973764,6128089,6287460,6398989,6326647,6639656,6971461
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: October 4, 2023."
"U.S. Bureau of Economic Analysis"
