GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "17000","Illinois",3,SASUMMARY,1,"..."," Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),832826.8,851517.2,857985.0,810210.1,852749.1,864170.9
 "17000","Illinois",3,SASUMMARY,2,"..."," Real personal income (millions of constant (2012) dollars) 2/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),586023.1,550929.4,557485.3,569075.5,588324.8,598683.9,621833.9,653427.7,649493.0,651755.3,670528.3,687637.5,712986.7,728882.6,(NA)
 "17000","Illinois",3,SASUMMARY,3,"..."," Real PCE (millions of constant (2012) dollars) 3/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),457909.1,443338.3,449779.0,453463.0,459574.7,465628.1,478434.8,493497.2,498923.9,502483.2,513351.7,523670.9,497667.2,535571.6,(NA)
 "17000","Illinois",3,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),832826.8,871024.2,895800.0,860747.5,943993.3,1025667.2
 "17000","Illinois",3,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",366594.1,382605.3,411220.9,427182.4,432381.6,440480.1,457834.3,475646.2,506021.6,535102.6,551159.7,525793.9,540880.9,568230.3,593814.2,605681.6,629465.0,657080.2,664686.8,685632.7,722686.6,741717.2,787487.8,853520.9,851243.1
 "17000","Illinois",3,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",314354.8,327467.3,351878.2,368530.2,381409.5,393351.4,409868.0,421300.6,444916.2,466928.2,481936.3,474337.2,485767.9,501181.2,523039.5,528372.8,548692.2,570633.8,580489.9,601729.6,635136.3,651321.3,696065.2,743674.1,726281.3
 "17000","Illinois",3,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",274303.2,289479.4,311531.8,322195.6,331449.3,345707.9,363646.5,384010.6,403497.1,423685.4,433710.5,424293.3,438819.8,454980.3,465517.9,476304.5,492993.4,507894.4,522413.6,539587.6,562269.9,573954.2,561359.8,627074.0,683721.0
 "17000","Illinois",3,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),45973,43052,43399,44139,45507,46191,47943,50400,50167,50428,52025,53512,55766,57522,(NA)
 "17000","Illinois",3,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),35923,34645,35014,35172,35548,35925,36887,38064,38537,38878,39830,40752,38925,42266,(NA)
 "17000","Illinois",3,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",29873,30958,33072,34206,34520,35081,36366,37720,40021,42148,43238,41088,42107,44074,45932,46731,48531,50682,51340,53049,56072,57721,61587,67278,67655
 "17000","Illinois",3,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",25616,26496,28299,29510,30451,31328,32556,33410,35188,36778,37808,37067,37816,38873,40458,40766,42304,44014,44837,46557,49279,50686,54437,58619,57724
 "17000","Illinois",3,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",22352,23423,25055,25799,26462,27533,28884,30453,31912,33372,34024,33156,34161,35290,36008,36749,38009,39175,40351,41749,43625,44665,43902,49429,54341
 "17000","Illinois",3,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),100.318,101.824,101.892,102.136,101.290,100.627,99.959,99.155,99.802,100.491,100.556,99.548,100.571,101.412,(NA)
 "17000","Illinois",3,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),94.626,95.778,97.559,100.267,101.290,101.990,102.845,102.244,103.942,106.574,108.919,109.436,111.779,117.253,(NA)
 "17000","Illinois",3,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",7139373,7218569,7357491,7309738,7217677,7191483,7244979,7334786,7448634,7577703,7553123,7304369,7251061,7376147,7434721,7503553,7613604,7748859,7804672,7823072,7880803,7859053,7519019,7749727,8094358
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: October 4, 2023."
"U.S. Bureau of Economic Analysis"
