GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "18000","Indiana",3,SASUMMARY,1,"..."," Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),357535.8,368762.9,371044.5,359184.7,384051.0,396009.2
 "18000","Indiana",3,SASUMMARY,2,"..."," Real personal income (millions of constant (2012) dollars) 2/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),260876.1,253419.0,258455.7,270295.7,277376.5,276740.0,283521.7,297867.2,303410.1,312858.0,314992.3,323719.1,348011.8,359702.4,(NA)
 "18000","Indiana",3,SASUMMARY,3,"..."," Real PCE (millions of constant (2012) dollars) 3/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),215455.8,212440.9,212945.0,217856.4,221066.0,222831.7,226601.1,234366.3,239991.2,251156.5,252517.5,254537.4,253201.5,271023.5,(NA)
 "18000","Indiana",3,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),357535.8,377376.9,385446.2,377901.1,422951.9,470323.6
 "18000","Indiana",3,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",154521.8,160465.8,171032.1,175229.8,177918.8,182458.0,191088.3,196999.0,208373.7,215919.9,226602.3,220908.7,231025.6,245731.2,256284.7,259534.8,269159.1,279385.7,287275.2,297990.5,313127.2,326386.7,351106.6,387919.3,398522.6
 "18000","Indiana",3,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",134492.7,139782.0,149782.7,153590.2,158457.7,164009.0,172450.0,176595.4,185993.0,191572.0,202241.4,201799.2,210496.1,221690.5,232188.7,233313.5,242163.9,250011.3,256746.2,267878.7,283620.4,293862.8,316416.7,346145.8,350626.4
 "18000","Indiana",3,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",117579.9,125011.8,133146.5,138169.8,142852.9,149620.7,159441.0,168731.5,175744.1,182424.5,187273.9,184465.1,190660.5,198049.2,205349.2,210037.4,217279.8,222792.9,230556.9,241847.3,252840.8,259039.6,259287.0,290016.5,318273.8
 "18000","Indiana",3,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),40605,39233,39815,41448,42372,42051,42894,44937,45568,46794,46834,47875,51286,52851,(NA)
 "18000","Indiana",3,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),33535,32889,32804,33407,33770,33859,34282,35357,36044,37565,37545,37644,37314,39821,(NA)
 "18000","Indiana",3,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",25758,26545,28075,28596,28902,29445,30657,31376,32905,33845,35270,34200,35590,37682,39150,39436,40721,42149,43145,44570,46556,48270,51719,56934,58323
 "18000","Indiana",3,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",22420,23124,24587,25065,25741,26467,27667,28126,29370,30029,31478,31242,32427,33995,35469,35452,36637,37717,38560,40066,42169,43460,46609,50803,51313
 "18000","Indiana",3,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",19600,20680,21856,22548,23206,24145,25580,26874,27752,28595,29149,28558,29371,30370,31369,31915,32872,33611,34627,36173,37593,38310,38193,42565,46579
 "18000","Indiana",3,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),92.538,92.980,93.769,93.028,93.195,93.428,93.457,92.239,92.156,90.931,92.752,92.820,91.898,92.735,(NA)
 "18000","Indiana",3,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),87.287,87.459,89.781,91.325,93.195,94.693,96.155,95.113,95.979,96.435,100.467,102.040,102.139,107.220,(NA)
 "18000","Indiana",3,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",3543278,3596542,3648148,3588944,3553197,3552183,3593262,3634795,3674382,3720029,3682921,3523023,3525292,3590103,3642274,3684167,3740470,3796439,3847508,3903424,3963724,3969603,3843114,3978425,4140665
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: October 4, 2023."
"U.S. Bureau of Economic Analysis"
