GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "25000","Massachusetts",1,SASUMMARY,1,"..."," Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),530129.4,549262.1,566706.2,556196.4,591911.5,604357.7
 "25000","Massachusetts",1,SASUMMARY,2,"..."," Real personal income (millions of constant (2012) dollars) 2/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),336467.4,336652.4,348143.7,355424.5,366255.1,368116.0,375208.9,398071.6,397805.5,408730.8,419097.0,436144.3,455315.4,475686.6,(NA)
 "25000","Massachusetts",1,SASUMMARY,3,"..."," Real PCE (millions of constant (2012) dollars) 3/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),272201.9,272204.9,277163.5,280160.5,284261.6,290678.3,294294.9,303614.3,302062.6,308129.5,312546.9,318759.8,297282.3,331844.5,(NA)
 "25000","Massachusetts",1,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),530129.4,559605.0,588617.5,589033.3,645434.0,691460.6
 "25000","Massachusetts",1,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",205509.2,219633.3,244147.4,254058.1,252959.5,257918.0,270865.5,282138.1,303265.4,319407.0,333450.5,330773.4,346269.9,363076.3,376591.2,379250.4,396488.7,422547.6,438598.5,459778.7,483954.4,507712.7,541420.5,583363.1,590400.3
 "25000","Massachusetts",1,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",170236.3,181023.6,196854.4,209556.9,217296.3,223648.1,235076.1,242062.2,259041.4,268645.0,283455.9,291998.7,303598.9,312773.4,325798.7,321324.5,334155.5,354729.0,370077.6,388416.0,410699.8,429657.4,462485.5,487481.5,480875.6
 "25000","Massachusetts",1,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",162978.8,174085.6,188309.9,198306.4,205354.4,217052.4,229676.5,242025.6,253765.3,261860.4,270085.7,267519.7,276970.5,287218.4,295070.2,303703.1,315986.3,327645.5,338935.6,354806.5,369729.9,381767.7,368684.9,414257.6,448337.4
 "25000","Massachusetts",1,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),52013,51653,52994,53610,54724,54483,55020,57983,57582,58739,59922,62159,64839,68104,(NA)
 "25000","Massachusetts",1,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),42078,41765,42189,42257,42473,43021,43155,44224,43723,44282,44688,45429,42335,47510,(NA)
 "25000","Massachusetts",1,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",32767,34767,38381,39711,39419,40158,42242,44061,47311,49662,51546,50751,52708,54764,56269,56130,58141,61548,63487,66076,69195,72359,77393,83461,84561
 "25000","Massachusetts",1,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",27143,28655,30947,32755,33862,34822,36660,37803,40412,41770,43818,44801,46213,47176,48680,47557,49000,51670,53568,55820,58721,61234,66110,69743,68874
 "25000","Massachusetts",1,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",25986,27557,29603,30997,32001,33795,35818,37797,39588,40715,41751,41046,42160,43322,44088,44949,46336,47725,49061,50990,52863,54409,52701,59267,64214
 "25000","Massachusetts",1,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),105.707,104.638,104.398,104.299,103.700,102.687,104.235,104.505,107.435,107.301,107.621,107.369,109.117,106.555,(NA)
 "25000","Massachusetts",1,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),99.709,98.425,99.958,102.390,103.700,104.077,107.244,107.761,111.892,113.797,116.572,118.034,121.278,123.200,(NA)
 "25000","Massachusetts",1,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",3896096,3962492,4070320,4075959,4021523,3991923,4028571,4071259,4110359,4202911,4215626,4115975,4115496,4175255,4253382,4353531,4447709,4631415,4709800,4778364,4855037,4872907,4600264,4777326,5002244
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: October 4, 2023."
"U.S. Bureau of Economic Analysis"
