GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "24000","Maryland",2,SASUMMARY,1,"..."," Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),399714.5,402480.9,402346.2,388532.3,405905.3,412282.6
 "24000","Maryland",2,SASUMMARY,2,"..."," Real personal income (millions of constant (2012) dollars) 2/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),273609.9,269153.6,278456.3,283636.1,291930.2,284549.4,291425.4,304565.5,315507.7,319905.6,323450.7,332933.7,343876.7,351518.8,(NA)
 "24000","Maryland",2,SASUMMARY,3,"..."," Real PCE (millions of constant (2012) dollars) 3/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),206557.0,202412.6,208972.7,209809.3,215532.0,214782.0,219260.6,224179.5,229551.2,232794.3,237591.3,242284.8,227839.1,244214.2,(NA)
 "24000","Maryland",2,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),399714.5,410771.8,419447.6,413417.7,446941.0,480112.7
 "24000","Maryland",2,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",163509.0,173125.8,188437.2,198926.9,206707.3,215973.4,230279.2,242214.0,254883.1,265895.1,278708.3,277623.6,287359.4,303270.1,310420.4,309329.5,318983.1,332956.2,344195.1,356079.0,367831.3,380342.1,400176.1,426367.4,432933.4
 "24000","Maryland",2,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",138914.5,146866.1,159434.2,168705.7,179292.3,189064.5,201922.2,210307.2,220039.8,227836.3,240997.6,245801.0,254446.7,265399.8,271959.7,267672.4,275659.4,286550.9,296325.1,307470.3,318406.1,326691.0,346569.6,363096.1,361505.2
 "24000","Maryland",2,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",120849.4,128874.0,139847.5,147599.6,154087.8,162642.2,173466.9,185632.3,196854.2,205523.8,211521.7,209436.1,216638.7,225125.8,231048.6,236202.1,243705.6,249981.7,256106.6,263750.7,273861.0,279180.1,269585.2,299768.1,324574.5
 "24000","Maryland",2,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),48129,46970,48080,48449,49363,47724,48498,50347,51896,52333,52690,54016,55709,57017,(NA)
 "24000","Maryland",2,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),36334,35323,36082,35839,36445,36023,36489,37059,37757,38083,38703,39309,36911,39612,(NA)
 "24000","Maryland",2,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",31417,32948,35480,37012,37995,39295,41515,43311,45293,47033,49026,48448,49617,51803,52490,51880,53084,55041,56614,58251,59919,61707,64825,69052,70228
 "24000","Maryland",2,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",26691,27950,30019,31389,32956,34399,36402,37606,39102,40301,42392,42894,43934,45334,45986,44894,45875,47369,48740,50299,51868,53003,56141,58805,58642
 "24000","Maryland",2,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",23220,24526,26332,27462,28323,29591,31273,33194,34982,36354,37207,36548,37406,38455,39069,39616,40557,41324,42125,43147,44612,45295,43670,48549,52651
 "24000","Maryland",2,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),108.452,109.806,108.048,109.162,107.087,108.162,107.686,107.715,106.853,106.845,106.384,105.159,106.419,106.223,(NA)
 "24000","Maryland",2,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),102.298,103.286,103.453,107.163,107.087,109.627,110.795,111.071,111.286,113.313,115.232,115.605,118.279,122.816,(NA)
 "24000","Maryland",2,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",2935441,3007654,3092125,3119857,3156623,3191282,3247728,3310793,3378368,3440590,3430861,3359477,3345404,3394860,3438930,3494007,3537737,3602930,3659063,3696841,3752933,3744535,3621705,3750161,3886891
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: October 4, 2023."
"U.S. Bureau of Economic Analysis"
