GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "27000","Minnesota",4,SASUMMARY,1,"..."," Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),354721.9,364799.7,368688.7,358127.2,374733.3,379111.5
 "27000","Minnesota",4,SASUMMARY,2,"..."," Real personal income (millions of constant (2012) dollars) 2/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),249428.6,234246.7,242578.8,253689.3,263919.5,262147.6,269625.9,285582.1,289275.2,297104.7,296400.8,306558.2,327803.1,333417.9,(NA)
 "27000","Minnesota",4,SASUMMARY,3,"..."," Real PCE (millions of constant (2012) dollars) 3/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),206533.7,199555.0,204653.2,209460.4,210897.5,213136.9,215870.8,223624.8,228832.9,236378.2,236026.7,240404.8,231904.8,243821.5,(NA)
 "27000","Minnesota",4,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),354721.9,372439.2,383961.6,379438.7,413063.1,448032.4
 "27000","Minnesota",4,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",140269.1,147376.2,159595.4,166509.0,170085.2,177862.3,188674.9,193583.8,203249.5,215185.4,225533.5,216335.4,225971.6,241599.5,255427.7,257507.8,270190.2,282988.0,288866.6,301749.0,317564.8,329115.6,349887.4,381789.1,393569.0
 "27000","Minnesota",4,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",119290.6,126254.6,135777.2,142680.9,148378.5,157083.2,167398.3,169647.8,177216.9,186764.6,195929.5,193510.5,201253.4,212489.9,224772.6,223396.0,234034.9,243358.4,248326.8,260814.3,276135.7,285832.7,306139.5,329269.5,335074.2
 "27000","Minnesota",4,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",113619.5,122542.9,133055.8,139164.2,144907.2,152249.8,161273.5,167954.3,175471.9,181235.3,187892.3,184896.8,191367.0,199861.6,205669.3,211942.7,219517.6,225990.2,233506.2,243968.6,255563.4,260981.7,249336.4,278984.2,302147.7
 "27000","Minnesota",4,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),47537,44355,45665,47396,48980,48274,49262,51832,52063,53003,52459,53908,57437,58419,(NA)
 "27000","Minnesota",4,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),39362,37786,38526,39133,39140,39249,39440,40587,41185,42170,41774,42275,40634,42720,(NA)
 "27000","Minnesota",4,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",29141,30240,32348,33417,33889,35195,37084,37812,39362,41325,42983,40963,42539,45137,47404,47419,49365,51362,51990,53832,56205,57874,61278,66846,68840
 "27000","Minnesota",4,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",24783,25906,27520,28635,29564,31084,32902,33137,34321,35867,37341,36641,37886,39699,41715,41138,42759,44169,44693,46529,48872,50263,53616,57651,58608
 "27000","Minnesota",4,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",23605,25145,26969,27929,28872,30127,31699,32806,33983,34805,35809,35010,36025,37339,38170,39029,40107,41017,42026,43524,45231,45893,43668,48846,52849
 "27000","Minnesota",4,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),96.351,98.592,97.858,97.549,97.578,97.905,98.723,97.432,97.202,96.775,99.729,98.994,97.803,98.423,(NA)
 "27000","Minnesota",4,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),90.884,92.738,93.696,95.764,97.578,99.230,101.572,100.467,101.234,102.633,108.024,108.828,108.703,113.797,(NA)
 "27000","Minnesota",4,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",3189396,3256931,3330936,3347326,3337728,3347012,3390375,3448129,3495694,3540345,3526233,3424125,3408488,3468973,3505288,3555540,3603670,3662633,3697854,3735638,3776940,3782809,3607496,3711807,3844786
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: October 4, 2023."
"U.S. Bureau of Economic Analysis"
