GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "37000","North Carolina",5,SASUMMARY,1,"..."," Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),546810.1,556573.7,568475.6,564794.4,597316.1,609058.2
 "37000","North Carolina",5,SASUMMARY,2,"..."," Real personal income (millions of constant (2012) dollars) 2/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),402044.2,393836.7,384369.0,386182.8,406018.4,394675.3,411076.3,433712.4,441339.6,460384.0,474748.7,501342.8,535676.0,548116.5,(NA)
 "37000","North Carolina",5,SASUMMARY,3,"..."," Real PCE (millions of constant (2012) dollars) 3/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),311599.3,312295.7,314819.0,318128.2,324410.7,329023.0,337666.6,348921.9,356882.4,371988.6,386150.9,402809.0,401049.1,427646.2,(NA)
 "37000","North Carolina",5,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),546810.1,568037.3,593126.9,601148.7,659529.3,715968.3
 "37000","North Carolina",5,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",198232.0,207943.0,221516.2,228090.9,231930.9,241805.1,261603.4,280391.8,304872.7,327886.5,351637.5,339441.5,343104.3,355001.6,377867.2,373140.6,393886.1,414760.4,429054.9,449817.7,473093.3,501587.2,541078.0,599133.5,621705.6
 "37000","North Carolina",5,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",171963.1,180585.5,191808.8,197956.1,205562.0,216638.7,235502.7,250047.8,270682.5,289740.6,313853.2,309829.8,312109.5,318906.9,341049.4,332773.0,351332.9,366949.2,378998.7,398999.2,421434.9,445795.7,483800.7,529875.9,541791.8
 "37000","North Carolina",5,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",155992.9,168402.8,181525.7,188401.9,193989.9,203546.0,217242.9,233498.5,248355.5,263993.0,272605.7,269018.7,280867.9,292708.3,303579.9,313671.6,327466.8,340378.4,352946.4,370093.0,388109.5,405132.5,408183.7,467929.8,511778.0
 "37000","North Carolina",5,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),43187,41678,40158,40050,41762,40259,41606,43519,43801,45245,46201,48343,51226,51948,(NA)
 "37000","North Carolina",5,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),33471,33049,32892,32992,33368,33562,34176,35011,35419,36558,37579,38842,38352,40531,(NA)
 "37000","North Carolina",5,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",25385,26158,27410,27782,27856,28709,30586,32209,34189,35960,37772,35921,35847,36816,38867,38062,39866,41617,42582,44207,46040,48366,51781,56705,58109
 "37000","North Carolina",5,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",22021,22717,23734,24111,24689,25721,27534,28723,30355,31777,33713,32788,32609,33073,35080,33945,35559,36820,37614,39213,41012,42987,46299,50150,50640
 "37000","North Carolina",5,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",19976,21184,22462,22948,23299,24167,25399,26822,27851,28953,29283,28469,29345,30356,31226,31996,33144,34154,35028,36372,37769,39066,39063,44287,47834
 "37000","North Carolina",5,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),92.970,91.782,93.432,93.992,93.764,94.220,94.256,93.925,94.318,93.158,92.837,91.907,91.445,93.805,(NA)
 "37000","North Carolina",5,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),87.694,86.332,89.458,92.272,93.764,95.495,96.977,96.852,98.230,98.797,100.558,101.036,101.636,108.458,(NA)
 "37000","North Carolina",5,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",4708195,4802414,4891957,4855476,4842001,4851941,4961645,5093058,5251529,5430916,5413522,5215727,5178397,5292804,5356134,5436745,5568600,5694917,5825267,5919022,6055657,6149071,6054937,6318605,6602041
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: October 4, 2023."
"U.S. Bureau of Economic Analysis"
