GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "34000","New Jersey",2,SASUMMARY,1,"..."," Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),590086.7,606892.2,617110.7,595973.4,629011.3,646731.3
 "34000","New Jersey",2,SASUMMARY,2,"..."," Real personal income (millions of constant (2012) dollars) 2/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),447914.7,418876.4,433882.0,438722.2,446636.0,447072.4,460439.1,478605.2,487674.6,495477.0,498848.5,519258.5,541199.7,567508.6,(NA)
 "34000","New Jersey",2,SASUMMARY,3,"..."," Real PCE (millions of constant (2012) dollars) 3/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),345606.9,327709.9,338400.5,337179.1,340519.7,344669.2,349776.8,357133.9,363568.1,365054.7,368644.3,373918.1,363998.9,401857.8,(NA)
 "34000","New Jersey",2,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),590086.7,619340.2,641877.6,630212.7,692227.3,754948.2
 "34000","New Jersey",2,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",286580.2,299723.8,329591.8,341308.9,345988.7,354097.7,369770.9,382749.3,410264.9,435048.7,449545.4,436271.4,448931.1,469252.9,484600.0,488591.3,509357.6,530303.1,545301.7,566237.1,591910.4,624819.8,657894.4,705095.2,714990.2
 "34000","New Jersey",2,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",243362.5,252709.4,276109.9,287114.5,300292.2,310910.2,325233.5,331779.7,354300.9,371189.8,384724.6,387087.3,397235.0,409360.8,425028.0,421449.1,439473.5,454670.3,468296.2,487599.4,512769.8,540976.3,575184.5,605108.3,599069.9
 "34000","New Jersey",2,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",206219.0,220351.8,237684.3,250245.6,262635.3,278154.7,294265.6,311008.9,326975.3,340079.3,349924.5,342548.8,352741.4,362084.6,372893.6,381523.2,394640.6,404207.8,415927.6,428802.3,446294.5,463021.9,453151.6,514108.0,556464.6
 "34000","New Jersey",2,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),51419,47841,49254,49423,49997,49759,50968,52730,53474,54004,54112,56083,58321,61239,(NA)
 "34000","New Jersey",2,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),39674,37429,38415,37984,38118,38361,38718,39347,39866,39788,39988,40385,39225,43364,(NA)
 "34000","New Jersey",2,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",34580,35854,39095,40189,40454,41167,42825,44238,47366,50133,51606,49828,50962,52862,54247,54380,56383,58425,59793,61716,64206,67484,70957,76079,77199
 "34000","New Jersey",2,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",29365,30230,32751,33807,35111,36146,37666,38347,40904,42774,44165,44210,45094,46115,47578,46907,48647,50093,51349,53145,55622,58428,62037,65290,64683
 "34000","New Jersey",2,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",24883,26359,28193,29466,30708,32338,34080,35947,37750,39189,40170,39123,40043,40789,41742,42463,43685,44533,45607,46736,48411,50009,48875,55472,60082
 "34000","New Jersey",2,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),106.864,110.934,108.462,109.286,109.310,108.833,108.971,109.020,108.919,109.333,111.004,111.239,110.661,109.099,(NA)
 "34000","New Jersey",2,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),100.800,104.347,103.849,107.285,109.310,110.306,112.116,112.417,113.437,115.952,120.236,122.288,122.993,126.141,(NA)
 "34000","New Jersey",2,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",4500635,4571128,4748598,4777145,4791997,4825010,4909630,4991163,5057231,5130173,5123837,4992097,4960649,5018547,5053885,5133106,5206898,5303132,5391258,5448785,5550061,5571245,5319454,5585214,5905843
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: October 4, 2023."
"U.S. Bureau of Economic Analysis"
