GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "35000","New Mexico",6,SASUMMARY,1,"..."," Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),93210.1,96077.0,100446.2,97511.9,99572.3,101315.0
 "35000","New Mexico",6,SASUMMARY,2,"..."," Real personal income (millions of constant (2012) dollars) 2/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),75633.7,74255.7,76938.4,76798.4,77515.3,76123.5,79539.3,82002.4,83255.9,81867.1,87512.3,90282.6,97529.9,102712.2,(NA)
 "35000","New Mexico",6,SASUMMARY,3,"..."," Real PCE (millions of constant (2012) dollars) 3/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),63826.3,62425.0,64706.5,63925.0,64504.3,65795.4,67075.4,69295.7,70501.1,70186.6,75080.1,74383.4,73040.0,81474.1,(NA)
 "35000","New Mexico",6,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),93210.1,98838.2,103869.2,100434.5,111730.6,125540.6
 "35000","New Mexico",6,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",38233.1,38915.1,41922.3,44958.8,46821.7,49019.7,52099.7,55540.8,59713.7,63243.6,67462.4,67011.8,69499.8,73017.7,74610.8,73079.8,77266.0,79130.8,80782.3,82354.1,86179.5,91139.6,98783.2,108248.3,110303.0
 "35000","New Mexico",6,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",34114.1,34610.8,37397.4,39989.5,42472.4,44841.6,47767.3,50465.3,53859.8,56872.9,61186.6,61704.7,64286.0,66995.0,68573.5,66440.1,70306.2,71903.8,73506.7,75092.2,78926.0,83120.3,91290.0,99310.2,99905.4
 "35000","New Mexico",6,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",32383.8,34289.5,36370.9,37920.9,39536.0,41854.5,44802.0,48348.7,51691.5,54730.9,57246.1,56758.5,58776.8,61451.0,62602.2,63851.9,66245.1,67683.2,69069.9,71126.1,74341.9,75343.4,74209.4,84561.4,91583.8
 "35000","New Mexico",6,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),37616,36457,37260,36885,37084,36310,37966,39123,39653,38965,41611,42785,46058,48544,(NA)
 "35000","New Mexico",6,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),31744,30649,31336,30702,30860,31383,32016,33061,33578,33405,35700,35250,34492,38506,(NA)
 "35000","New Mexico",6,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",21318,21523,23019,24545,25237,26108,27366,28744,30433,31780,33552,32901,33658,35069,35695,34858,36880,37753,38475,39197,40977,43191,46631,51141,52194
 "35000","New Mexico",6,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",19021,19142,20534,21832,22892,23883,25090,26117,27450,28578,30431,30295,31133,32176,32806,31691,33558,34305,35009,35740,37528,39391,43094,46918,47274
 "35000","New Mexico",6,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",18056,18965,19971,20703,21310,22292,23533,25022,26344,27502,28471,27866,28465,29514,29950,30456,31620,32292,32896,33853,35349,35705,35031,39950,43336
 "35000","New Mexico",6,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),94.928,96.101,94.628,96.923,96.537,95.472,95.415,94.613,94.089,95.721,91.658,92.743,91.634,89.907,(NA)
 "35000","New Mexico",6,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),89.541,90.395,90.603,95.149,96.537,96.764,98.169,97.561,97.992,101.515,99.282,101.955,101.846,103.951,(NA)
 "35000","New Mexico",6,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",937525,942297,964919,976506,984383,1003008,1027012,1050201,1079128,1103272,1105330,1071898,1059918,1064201,1067145,1075551,1083585,1092272,1092375,1095489,1110587,1116844,1069531,1092639,1139488
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: October 4, 2023."
"U.S. Bureau of Economic Analysis"
