GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "41000","Oregon",8,SASUMMARY,1,"..."," Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),225534.5,234308.3,239910.5,237670.4,250099.4,254708.4
 "41000","Oregon",8,SASUMMARY,2,"..."," Real personal income (millions of constant (2012) dollars) 2/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),151583.1,143337.6,146365.8,149477.3,153100.0,154611.6,164332.3,174142.1,182637.5,185311.8,187108.3,194953.0,211001.0,220212.2,(NA)
 "41000","Oregon",8,SASUMMARY,3,"..."," Real PCE (millions of constant (2012) dollars) 3/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),130427.0,125276.2,128493.6,129396.6,128701.4,131818.9,137318.6,142061.1,148847.2,151700.8,152583.9,157818.9,155827.4,170303.4,(NA)
 "41000","Oregon",8,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),225534.5,238466.9,248939.8,251855.8,275444.0,297308.9
 "41000","Oregon",8,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",86877.8,89931.4,96913.7,99785.7,101042.1,104729.6,110580.7,116073.4,126600.1,132605.6,138899.9,134391.8,137926.3,145345.1,152601.5,154851.2,165171.9,177478.1,186105.0,197262.3,210044.9,219982.7,239862.5,262382.4,264173.8
 "41000","Oregon",8,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",74781.4,76905.8,82521.9,86108.6,88982.4,92952.6,98182.0,101500.0,110396.1,116305.4,121676.0,121052.1,123769.5,128751.5,135425.0,135385.1,144305.1,153843.6,160837.6,171112.2,183113.0,191133.9,210799.9,227497.0,225062.9
 "41000","Oregon",8,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",70845.4,75719.2,80982.4,83983.4,87318.4,91577.9,98004.1,104708.7,111706.8,117601.9,120210.4,117906.7,121721.3,126457.0,129665.9,133614.5,140520.0,148092.8,154955.2,164616.9,174082.3,180343.0,179459.0,202810.3,221162.1
 "41000","Oregon",8,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),40221,37635,38140,38598,39256,39401,41442,43335,44620,44684,44726,46241,49746,51862,(NA)
 "41000","Oregon",8,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),34608,32893,33483,33413,33000,33592,34629,35352,36365,36579,36474,37434,36738,40108,(NA)
 "41000","Oregon",8,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",25915,26498,28257,28774,28759,29523,30980,32125,34488,35624,36856,35286,35941,37531,39128,39462,41653,44166,45467,47565,50209,52178,56507,61646,62303
 "41000","Oregon",8,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",22307,22660,24061,24830,25326,26203,27506,28091,30073,31245,32286,31784,32252,33246,34724,34501,36391,38284,39294,41260,43771,45336,49661,53449,53079
 "41000","Oregon",8,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",21132,22310,23612,24217,24853,25816,27456,28979,30430,31593,31897,30958,31718,32654,33247,34050,35437,36853,37857,39694,41613,42776,42277,47649,52159
 "41000","Oregon",8,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),97.600,99.886,98.824,99.362,100.435,99.767,98.954,100.191,99.192,101.484,104.616,103.924,103.427,103.032,(NA)
 "41000","Oregon",8,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),92.061,93.955,94.621,97.544,100.435,101.118,101.811,103.312,103.306,107.628,113.317,114.246,114.954,119.127,(NA)
 "41000","Oregon",8,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",2021755,2051144,2092153,2079058,2062116,2076549,2132996,2196901,2256440,2307311,2288774,2189199,2174333,2201553,2219981,2260337,2323439,2391179,2450390,2515986,2570069,2579279,2493432,2559698,2658285
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: October 4, 2023."
"U.S. Bureau of Economic Analysis"
