GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "51000","Virginia",5,SASUMMARY,1,"..."," Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),515167.2,527767.5,541070.2,533828.3,562888.0,576964.3
 "51000","Virginia",5,SASUMMARY,2,"..."," Real personal income (millions of constant (2012) dollars) 2/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),366361.8,362655.9,367446.0,380475.2,394342.2,382951.3,393883.1,410329.4,420119.2,434724.7,438591.8,462257.6,479242.0,486026.0,(NA)
 "51000","Virginia",5,SASUMMARY,3,"..."," Real PCE (millions of constant (2012) dollars) 3/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),285558.4,285936.8,288740.2,293378.1,298922.8,298480.0,303311.5,308892.1,316891.0,326015.3,331431.0,342189.0,329026.2,352615.9,(NA)
 "51000","Virginia",5,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),515167.2,537158.3,561989.6,565063.1,613920.3,663105.5
 "51000","Virginia",5,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",199883.6,214025.7,231869.8,244314.3,251357.7,266325.2,284687.3,303288.9,323553.8,341200.3,355506.4,349465.4,364677.9,385635.1,402072.1,398579.8,414710.1,433088.2,444691.4,462372.2,479766.6,501811.6,530920.4,578639.7,599042.0
 "51000","Virginia",5,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",171344.9,181994.8,197255.6,208358.4,220058.7,235447.9,252323.5,265957.4,282404.7,297091.9,309947.3,312814.4,325496.5,340027.0,356231.8,348961.5,362726.7,376673.5,386860.4,402867.4,419465.7,436536.8,465149.1,499639.6,508670.2
 "51000","Virginia",5,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",150505.0,162716.4,176024.5,184913.4,194876.7,207100.9,223429.3,240687.1,255282.2,268547.9,278381.6,275960.2,287569.7,298041.6,306745.6,313709.5,323397.4,330467.2,339172.4,349392.3,364477.2,375438.0,370614.4,415582.1,452039.8
 "51000","Virginia",5,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),46769,45756,45787,46928,48109,46308,47265,48908,49750,51129,51315,53768,55519,56238,(NA)
 "51000","Virginia",5,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),36454,36076,35980,36185,36468,36093,36396,36817,37525,38343,38777,39802,38117,40801,(NA)
 "51000","Virginia",5,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",28965,30574,32631,33940,34495,36151,38082,40027,42164,44020,45383,44091,45443,47564,49052,48198,49764,51620,52659,54380,56133,58368,61474,66838,68985
 "51000","Virginia",5,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",24829,25999,27760,28945,30199,31960,33753,35100,36802,38329,39567,39467,40560,41939,43459,42198,43526,44896,45811,47382,49077,50776,53859,57713,58578
 "51000","Virginia",5,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",21809,23245,24772,25688,26744,28112,29888,31765,33267,34647,35537,34817,35834,36761,37422,37935,38807,39389,40164,41093,42644,43669,42913,48003,52057
 "51000","Virginia",5,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),103.274,102.571,103.968,103.488,102.640,103.629,103.616,103.761,103.022,101.457,102.096,100.152,101.100,102.278,(NA)
 "51000","Virginia",5,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),97.414,96.481,99.546,101.594,102.640,105.032,106.607,106.994,107.296,107.599,110.588,110.101,112.367,118.255,(NA)
 "51000","Virginia",5,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",4167798,4261127,4399151,4417451,4421728,4467318,4587035,4700990,4781754,4869298,4870374,4758069,4743177,4802651,4856833,4898617,4953436,5060270,5156659,5229126,5299069,5329577,5224726,5392698,5599585
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: October 4, 2023."
"U.S. Bureau of Economic Analysis"
