state_name,federal_funding,enrollment_count,state,rgdp,personal_income,fund_per_child,funding_index
Alabama,156825889.0,13438,AL,235807.3,258362.2,11670.32958773627,4.517042194150797
Arkansas,106372981.0,9191,AR,137355.5,160254.2,11573.602545968883,7.222027594889171
Arizona,175213573.0,13054,AZ,403474.2,430083.5,13422.213344568714,3.1208389404775385
California,1320500737.0,87819,CA,3167460.8,3006647.3,15036.617782028947,0.5001124602153684
Colorado,119296359.0,9489,CO,416114.4,442213.0,12572.068605754032,2.842989375200193
Connecticut,73144144.0,5585,CT,276668.8,300750.7,13096.534288272158,4.354614731826778
District of Columbia,36656754.0,2370,DC,144029.6,64472.8,15466.984810126582,23.989938098122902
Delaware,21553287.0,1996,DE,75172.6,64406.6,10798.23997995992,16.76573515751479
Florida,442454135.0,40319,FL,1218430.2,1441598.9,10973.837024727796,0.7612267895548336
Georgia,258763401.0,23259,GA,655827.3,617553.0,11125.302076615504,1.8015137286379472
Iowa,80666369.0,7148,IA,197846.3,192742.4,11285.166340235031,5.855051270625991
Idaho,38883862.0,2908,ID,91683.7,109775.9,13371.34181568088,12.18058045133848
Illinois,410844005.0,29117,IL,864170.9,851243.1,14110.107669059313,1.6575884925304314
Indiana,160915337.0,13327,IN,396009.2,398522.6,12074.385608163879,3.029786920030101
Kansas,79968282.0,6809,KS,174794.6,177474.7,11744.497283007784,6.61756142312554
Kentucky,180999075.0,14921,KY,217568.1,234281.9,12130.492259231954,5.17773343106401
Louisiana,209932116.0,20165,LA,231262.3,250170.6,10410.717381601786,4.161447181084342
Massachusetts,162250043.0,11589,MA,604357.7,590400.3,14000.348865303306,2.371331597443854
Maryland,121176389.0,9192,MD,412282.6,432933.4,13182.809943429069,3.0449972082147205
Maine,43094677.0,2957,ME,72413.5,83950.6,14573.783226242813,17.359951240661548
Michigan,367417126.0,29085,MI,539898.2,572325.1,12632.529688843046,2.207229717662749
Minnesota,125893518.0,10946,MN,379111.5,393569.0,11501.326329252695,2.9223151033878927
Missouri,186607110.0,13916,MO,336625.8,357194.7,13409.536504742742,3.7541252725034107
Mississippi,225587275.0,21622,MS,114152.9,136330.2,10433.228887244473,7.652911011092534
Montana,37266084.0,2916,MT,53983.4,68477.0,12779.864197530864,18.66300246437616
North Carolina,243871997.0,20822,NC,609058.2,621705.6,11712.227307655365,1.8838864098466162
North Dakota,25014453.0,1877,ND,54798.7,54828.5,13326.826318593501,24.306385034413672
Nebraska,61472858.0,4885,NE,137078.1,126473.5,12584.003684749232,9.949913369005548
New Hampshire,21040873.0,1521,NH,90150.5,103121.9,13833.578566732413,13.414782472716672
New Jersey,193901043.0,15267,NJ,646731.3,714990.2,12700.664374140302,1.7763410427360131
New Mexico,77925474.0,6502,NM,101315.0,110303.0,11984.846816364196,10.86538608774394
Nevada,41621944.0,2937,NV,187226.2,197290.9,14171.584610146409,7.183090862349155
New York,626590038.0,46051,NY,1763524.6,1483802.3,13606.43716748822,0.9169979833221865
Ohio,383581783.0,33303,OH,689681.3,679233.0,11517.934810677716,1.6957266226284229
Oklahoma,137635270.0,12984,OK,191583.0,226308.0,10600.375077017869,4.684047880330288
Oregon,105339943.0,12899,OR,254708.4,264173.8,8166.520117838592,3.091343697913492
Pennsylvania,355878475.0,35372,PA,772335.9,836778.3,10061.02213615289,1.2023521805181716
Rhode Island,34309953.0,2592,RI,62190.9,69514.2,13236.864583333334,19.041957734295057
South Carolina,132548140.0,12167,SC,250873.4,283245.8,10894.069203583464,3.8461538365559047
South Dakota,28547672.0,2713,SD,54959.3,62028.3,10522.54773313675,16.964107888071652
Tennessee,182106785.0,16480,TN,412101.3,411035.1,11050.168992718447,2.6883760031000876
Texas,719676508.0,68467,TX,1924007.5,1879419.6,10511.290227408825,0.5592838463219616
Utah,74286011.0,5501,UT,213898.3,201011.8,13504.092165060898,6.718059419925049
Virginia,151962333.0,13886,VA,576964.3,599042.0,10943.564237361372,1.8268442341874813
Vermont,24372338.0,1419,VT,34609.4,40790.3,17175.713883016208,42.10734876432928
Washington,174784499.0,11145,WA,641143.6,586520.2,15682.772454015254,2.6738674054218854
Wisconsin,151400958.0,13050,WI,335688.5,362245.3,11601.605977011493,3.2026933067210246
West Virginia,75200678.0,7824,WV,76525.5,88744.9,9611.538599182004,10.83052502079782
Wyoming,21166369.0,1442,WY,37294.2,42584.7,14678.480582524271,34.46890686684249
