GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "04000","Arizona",6,SASUMMARY,1,"..."," Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),333099.0,346398.3,359645.7,362603.5,390805.2,403474.2
 "04000","Arizona",6,SASUMMARY,2,"..."," Real personal income (millions of constant (2012) dollars) 2/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),231774.7,218472.1,225397.5,233946.5,241983.9,243833.1,255373.4,268726.0,274244.5,289284.0,300700.1,316996.3,341318.5,362113.5,(NA)
 "04000","Arizona",6,SASUMMARY,3,"..."," Real PCE (millions of constant (2012) dollars) 3/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),203225.2,195775.7,203890.8,208613.8,213104.3,215761.2,224210.8,232655.5,237126.1,249233.4,258796.1,267067.3,261631.1,291985.0,(NA)
 "04000","Arizona",6,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),333099.0,353671.0,375545.0,386443.5,432279.8,475653.7
 "04000","Arizona",6,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",117835.0,124922.3,135573.8,142097.8,147455.2,156408.8,170443.0,187724.9,207762.6,219579.1,223495.1,212283.6,216223.6,227203.3,236431.4,242030.3,253711.6,267474.1,279696.7,297261.5,315459.0,337214.1,374311.8,409885.7,430083.5
 "04000","Arizona",6,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",103265.8,109324.1,118337.5,124820.6,132597.0,141828.8,154311.8,167738.1,184940.1,195625.4,201198.3,195955.8,198815.2,206128.2,214865.8,218160.9,228628.0,239543.4,250636.5,266666.0,283699.5,302159.1,337272.5,364326.7,377143.3
 "04000","Arizona",6,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",103774.8,111890.9,121418.9,127277.9,133667.9,142860.7,155367.0,170011.9,184063.5,194363.4,197557.7,190868.2,196474.0,203580.7,209936.3,216830.0,226151.5,234755.7,243679.6,259029.1,273816.1,286488.5,291542.5,334350.1,368866.6
 "04000","Arizona",6,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),36905,34442,35207,36290,37186,37151,38470,40023,40321,42048,43142,44834,47551,49766,(NA)
 "04000","Arizona",6,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),32359,30864,31848,32361,32748,32874,33776,34651,34863,36227,37130,37772,36449,40128,(NA)
 "04000","Arizona",6,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",24130,24866,26271,26946,27325,28384,30154,32150,34460,35602,35586,33467,33774,35244,36333,36877,38220,39836,41122,43208,45260,47693,52133,56420,58442
 "04000","Arizona",6,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",21147,21761,22931,23670,24572,25739,27300,28727,30674,31718,32036,30892,31055,31975,33019,33240,34441,35676,36850,38761,40703,42735,46974,50149,51248
 "04000","Arizona",6,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",21251,22272,23528,24135,24770,25926,27487,29116,30529,31513,31456,30090,30689,31580,32261,33037,34068,34963,35827,37651,39285,40519,40605,46023,50123
 "04000","Arizona",6,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),102.793,103.615,100.639,99.287,98.414,98.764,98.052,97.901,98.968,97.780,97.517,97.847,99.323,96.721,(NA)
 "04000","Arizona",6,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),96.960,97.463,96.358,97.470,98.414,100.101,100.883,100.951,103.074,103.699,105.627,107.566,110.392,111.830,(NA)
 "04000","Arizona",6,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",2616288,2695892,2801510,2829002,2847070,2917095,3041449,3219799,3375196,3465065,3402806,3228516,3181563,3239037,3295532,3371101,3448146,3547647,3644791,3740747,3854741,3929945,3920033,4086802,4287595
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: October 4, 2023."
"U.S. Bureau of Economic Analysis"
