GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "06000","California",8,SASUMMARY,1,"..."," Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),2740550.3,2850970.3,2962792.1,2925146.9,3146185.3,3167460.8
 "06000","California",8,SASUMMARY,2,"..."," Real personal income (millions of constant (2012) dollars) 2/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),1539207.5,1501979.6,1559084.1,1619420.1,1686834.4,1694852.2,1779397.6,1889769.0,1966517.8,1976276.1,2010956.5,2108670.2,2250420.2,2332657.6,(NA)
 "06000","California",8,SASUMMARY,3,"..."," Real PCE (millions of constant (2012) dollars) 3/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),1240533.2,1212345.9,1244599.8,1268693.6,1291539.4,1315157.1,1355802.4,1403629.5,1460675.2,1478265.7,1513063.9,1571307.1,1486155.4,1611323.6,(NA)
 "06000","California",8,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),2740550.3,2899530.9,3062158.9,3068809.4,3416939.4,3641643.4
 "06000","California",8,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",953360.5,1022682.7,1127550.1,1169366.4,1187280.9,1240604.2,1315172.2,1387883.8,1493217.0,1561307.2,1588294.5,1539818.7,1609997.5,1713428.0,1814763.0,1840885.3,1955718.0,2097049.6,2191138.0,2295048.7,2411055.1,2537950.6,2767521.4,3013676.9,3006647.3
 "06000","California",8,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",816872.5,863253.7,932100.4,988772.1,1040694.4,1098063.6,1164414.7,1209975.6,1295546.9,1346007.1,1376342.8,1378288.7,1431825.6,1504645.4,1590509.7,1587112.7,1679406.9,1786764.4,1871763.1,1961488.7,2057748.6,2169277.3,2368785.6,2520230.0,2464043.4
 "06000","California",8,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",722322.0,776324.7,844374.3,886833.1,924960.4,975445.5,1041764.2,1114921.0,1186034.5,1256410.5,1295036.3,1253678.5,1297976.1,1354341.6,1409173.4,1453927.1,1522216.3,1595724.1,1665899.0,1752123.2,1856117.3,1938018.7,1885028.5,2146539.4,2352361.6
 "06000","California",8,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),42050,40637,41773,43012,44425,44262,46055,48498,50137,50129,50864,53319,56973,59449,(NA)
 "06000","California",8,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),33890,32800,33347,33697,34014,34346,35091,36022,37240,37497,38271,39732,37624,41066,(NA)
 "06000","California",8,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",28901,30529,33175,33915,34047,35191,36969,38737,41454,43070,43391,41660,43138,45509,47794,48076,50619,53817,55863,58214,60984,64174,70061,76991,77036
 "06000","California",8,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",24763,25769,27424,28677,29843,31148,32732,33772,35966,37131,37601,37290,38364,39963,41888,41448,43467,45854,47721,49754,52048,54852,59967,64385,63133
 "06000","California",8,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",21897,23174,24843,25721,26525,27670,29284,31119,32926,34659,35379,33919,34777,35971,37112,37970,39399,40952,42472,44443,46948,49004,47720,54838,60272
 "06000","California",8,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),109.949,109.211,108.281,108.046,108.473,108.260,108.341,109.260,108.544,110.882,111.896,110.989,111.919,111.797,(NA)
 "06000","California",8,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),103.710,102.726,103.676,106.068,108.473,109.726,111.469,112.664,113.047,117.594,121.203,122.013,124.392,129.261,(NA)
 "06000","California",8,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",18432865,18852334,19228895,19341458,19358251,19478732,19784214,20126936,20505244,20888508,20654365,19837727,19642544,19986185,20666919,21318697,21996861,22687175,23177961,23548874,24077466,24225068,23154091,23934549,25300974
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: October 4, 2023."
"U.S. Bureau of Economic Analysis"
