GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "08000","Colorado",7,SASUMMARY,1,"..."," Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),350209.1,365204.5,383596.0,380921.9,406961.5,416114.4
 "08000","Colorado",7,SASUMMARY,2,"..."," Real personal income (millions of constant (2012) dollars) 2/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),216435.6,208055.8,214698.7,222534.8,230469.6,239354.9,258427.2,269350.2,272577.8,284013.5,306574.3,317157.4,328502.3,346082.1,(NA)
 "08000","Colorado",7,SASUMMARY,3,"..."," Real PCE (millions of constant (2012) dollars) 3/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),177563.7,177338.0,182970.1,182772.4,184107.0,189499.1,198894.0,208802.8,219237.0,225746.5,239443.8,242286.3,235846.2,260464.8,(NA)
 "08000","Colorado",7,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),350209.1,373923.1,397701.6,397612.2,447051.7,491289.0
 "08000","Colorado",7,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",122577.9,131712.8,146560.8,154066.7,154492.3,157405.3,163568.5,174247.8,188197.0,200611.2,210065.8,200170.0,206053.4,223873.9,236033.0,247816.7,268453.1,279696.0,283678.7,303366.7,328112.7,351373.2,375157.8,417967.7,442213.0
 "08000","Colorado",7,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",105138.1,112452.8,124352.3,132523.8,136160.2,140456.1,145983.9,153717.8,164602.5,174261.5,183754.7,180175.7,184323.2,197828.9,208823.5,217662.1,235238.8,243622.7,246133.3,264253.1,288001.5,307696.4,330301.7,363127.6,378514.4
 "08000","Colorado",7,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",96805.1,106130.8,117037.5,123305.4,126789.8,132387.1,140464.2,148825.1,158054.6,167441.9,173274.1,170721.1,175992.9,184841.9,189763.8,198951.0,210765.5,222464.3,233801.6,247983.2,261807.9,275707.0,273942.3,314541.5,346723.2
 "08000","Colorado",7,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),44263,41844,42540,43471,44418,45474,48367,49493,49298,50715,54000,55293,56792,59545,(NA)
 "08000","Colorado",7,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),36314,35666,36253,35703,35482,36002,37225,38367,39651,40311,42176,42240,40773,44814,(NA)
 "08000","Colorado",7,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",29776,31167,33872,34812,34405,34757,35753,37619,39869,41760,42961,40258,40827,43732,45490,47082,50244,51394,51306,54171,57794,61258,64852,71923,75722
 "08000","Colorado",7,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",25540,26610,28739,29944,30322,31014,31909,33187,34870,36275,37580,36237,36521,38645,40246,41353,44028,44766,44515,47187,50729,53644,57098,62487,64815
 "08000","Colorado",7,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",23516,25114,27049,27861,28236,29233,30702,32131,33483,34856,35436,34335,34871,36108,36572,37798,39447,40878,42285,44281,46115,48067,47355,54126,59371
 "08000","Colorado",7,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),102.979,102.001,100.291,102.450,102.875,102.989,102.218,102.731,102.252,102.979,100.162,102.419,103.871,103.009,(NA)
 "08000","Colorado",7,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),97.136,95.944,96.026,100.575,102.875,104.384,105.169,105.932,106.493,109.213,108.492,112.592,115.447,119.099,(NA)
 "08000","Colorado",7,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",2732491,2808435,2918002,2941583,2916933,2908611,2958370,3036659,3109365,3217965,3251120,3164474,3143662,3204104,3262912,3357156,3467715,3574253,3666709,3760708,3857981,3894748,3821481,3988907,4187944
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: October 4, 2023."
"U.S. Bureau of Economic Analysis"
