GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "09000","Connecticut",1,SASUMMARY,1,"..."," Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),273875.1,274582.8,274219.4,258625.0,268846.7,276668.8
 "09000","Connecticut",1,SASUMMARY,2,"..."," Real personal income (millions of constant (2012) dollars) 2/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),210068.8,207360.5,218099.9,216526.2,217654.9,209363.6,216507.8,222029.2,223770.1,222843.5,234057.1,239455.9,243003.3,253919.7,(NA)
 "09000","Connecticut",1,SASUMMARY,3,"..."," Real PCE (millions of constant (2012) dollars) 3/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),140936.9,137852.0,143715.2,143484.1,144931.2,145260.4,148397.9,151337.9,153123.5,154003.8,160903.6,162109.0,154420.4,169604.7,(NA)
 "09000","Connecticut",1,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),273875.1,280535.4,285466.4,275801.9,295907.5,319344.8
 "09000","Connecticut",1,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",126666.4,133690.1,146216.9,154585.9,154452.8,156438.6,164657.4,173328.8,187213.1,201450.4,214658.2,212233.8,219801.3,226305.8,229133.1,223834.3,233084.0,239184.9,243698.7,249451.1,260582.2,267552.8,278373.6,292370.9,300750.7
 "09000","Connecticut",1,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",103886.8,109328.9,118615.1,125846.6,131256.0,134382.6,141075.9,146014.1,156951.9,166863.3,180625.9,186416.4,191948.2,194389.7,196342.0,187172.5,195077.7,199677.4,205557.5,210110.4,221036.5,227023.8,236843.3,242810.7,244622.1
 "09000","Connecticut",1,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",88363.7,94452.9,100901.9,105264.0,109481.5,115064.8,122069.8,129412.4,136179.5,141740.4,145953.3,142958.8,146714.3,150910.1,154874.3,158507.2,164435.2,168667.3,171683.8,177076.1,183771.4,186538.0,184319.0,204252.3,219068.1
 "09000","Connecticut",1,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),59248,58218,60917,60243,60372,57990,59897,61470,62026,61770,64812,66384,67496,70424,(NA)
 "09000","Connecticut",1,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),39750,38703,40141,39921,40200,40235,41054,41899,42444,42689,44555,44941,42891,47039,(NA)
 "09000","Connecticut",1,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",37638,39479,42857,45032,44656,44898,47098,49424,53224,57112,60543,59586,61392,62964,63555,61999,64482,66220,67550,69146,72157,74173,77383,80691,82938
 "09000","Connecticut",1,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",30870,32285,34766,36660,37949,38568,40352,41636,44621,47307,50944,52338,53613,54084,54460,51844,53968,55282,56978,58241,61207,62937,65838,67013,67460
 "09000","Connecticut",1,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",26257,27892,29575,30664,31654,33023,34916,36902,38715,40184,41165,40137,40978,41987,42958,43904,45491,46696,47588,49084,50888,51713,51237,56371,60413
 "09000","Connecticut",1,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),109.205,109.135,106.013,106.902,106.360,106.730,106.431,106.393,106.540,107.134,104.116,103.721,104.922,102.603,(NA)
 "09000","Connecticut",1,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),103.008,102.655,101.504,104.945,106.360,108.175,109.503,109.708,110.960,113.619,112.776,114.023,116.615,118.630,(NA)
 "09000","Connecticut",1,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",2036825,2070018,2118177,2125253,2117721,2112277,2144316,2171965,2202093,2245723,2256077,2196171,2171940,2206253,2223243,2246505,2266061,2288144,2301331,2300273,2314465,2297910,2217432,2289551,2391946
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: October 4, 2023."
"U.S. Bureau of Economic Analysis"
