GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "11000","District of Columbia",2,SASUMMARY,1,"..."," Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),134298.8,138056.8,138867.4,137762.3,142676.3,144029.6
 "11000","District of Columbia",2,SASUMMARY,2,"..."," Real personal income (millions of constant (2012) dollars) 2/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),33511.5,33775.0,35446.5,37571.3,38903.1,38121.6,40155.8,43487.4,45795.5,46756.8,46973.0,48432.6,50237.2,50398.4,(NA)
 "11000","District of Columbia",2,SASUMMARY,3,"..."," Real PCE (millions of constant (2012) dollars) 3/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),31291.8,30696.5,31301.8,32139.2,33181.8,33363.9,34214.6,35830.8,37420.6,38554.6,39360.6,40786.4,38602.0,41045.4,(NA)
 "11000","District of Columbia",2,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),134298.8,141240.2,145171.0,146935.3,156139.9,165060.5
 "11000","District of Columbia",2,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",21514.7,22625.2,24827.6,25742.9,25863.4,26138.6,28379.7,29880.4,31606.5,34095.7,35167.5,35540.0,38212.4,41361.1,42582.3,43213.8,46124.0,49741.7,52190.6,54158.7,56395.7,57492.3,60178.6,65205.6,64472.8
 "11000","District of Columbia",2,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",18239.4,19040.6,20802.5,21629.8,22356.7,22646.5,24563.9,25516.2,26908.0,28669.4,29810.1,30977.9,33528.2,35780.5,36504.6,36636.6,39080.4,41864.1,44223.5,45919.1,47652.8,48178.2,50520.6,53687.2,51461.9
 "11000","District of Columbia",2,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",19936.5,21239.0,22598.2,23350.2,24355.2,25661.4,27467.8,29000.6,30639.4,32114.9,33389.8,32788.1,34550.3,35991.9,37299.0,38960.6,40640.2,42193.0,43503.2,45283.3,47906.0,49573.5,46913.2,52905.0,57595.3
 "11000","District of Columbia",2,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),57755,57030,58609,60815,61640,59126,61348,65332,67963,68665,68510,70457,72798,75216,(NA)
 "11000","District of Columbia",2,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),53929,51832,51756,52022,52575,51747,52271,53830,55534,56619,57408,59334,55937,61257,(NA)
 "11000","District of Columbia",2,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",38064,39679,43401,44809,45124,45978,49986,52686,55384,59358,60609,60011,63182,66950,67470,67024,70466,74728,77453,79535,82254,83636,89703,97498,95970
 "11000","District of Columbia",2,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",32269,33392,36365,37650,39006,39835,43265,44991,47151,49912,51376,52307,55437,57917,57840,56823,59705,62894,65630,67434,69502,70087,75306,80275,76603
 "11000","District of Columbia",2,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",35271,37247,39504,40644,42493,45139,48380,51135,53689,55910,57545,55364,57127,58259,59099,60427,62088,63388,64561,66501,69871,72117,69929,79105,85732
 "11000","District of Columbia",2,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),111.876,112.264,113.086,112.393,110.715,113.246,113.385,112.448,110.691,110.107,111.709,109.546,111.256,111.271,(NA)
 "11000","District of Columbia",2,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),105.527,105.599,108.276,110.335,110.715,114.780,116.658,115.951,115.283,116.772,121.000,120.428,123.655,128.652,(NA)
 "11000","District of Columbia",2,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",698434,711478,735304,741793,757395,754584,763451,769777,777513,788384,794904,795923,809128,826749,834391,848230,860668,873204,892796,902843,914319,915212,866085,869738,904759
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: October 4, 2023."
"U.S. Bureau of Economic Analysis"
