GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "15000","Hawaii",8,SASUMMARY,1,"..."," Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),87436.4,88836.4,88945.3,79592.5,84121.5,85211.4
 "15000","Hawaii",8,SASUMMARY,2,"..."," Real personal income (millions of constant (2012) dollars) 2/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),54073.7,52489.3,53937.0,54991.0,56425.2,55295.9,58020.5,60244.1,62241.1,63795.1,63589.7,65080.5,66553.5,67312.3,(NA)
 "15000","Hawaii",8,SASUMMARY,3,"..."," Real PCE (millions of constant (2012) dollars) 3/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),45285.6,44100.3,45523.9,46270.5,47457.9,47315.7,48787.4,49652.2,51013.8,52234.7,53750.2,54559.9,51114.6,54126.6,(NA)
 "15000","Hawaii",8,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),87436.4,90933.5,93356.2,84615.2,93089.8,101082.6
 "15000","Hawaii",8,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",32355.7,33425.6,35403.1,36996.8,38865.6,40734.2,43729.2,46898.1,50182.6,53022.5,55802.6,55409.0,56649.4,59226.4,61161.6,61983.4,65182.2,68200.8,70744.8,73646.4,75266.4,78551.8,82761.3,88948.0,88973.3
 "15000","Hawaii",8,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",28491.1,29390.4,31057.3,32527.2,34819.3,36733.3,39412.9,41780.6,44609.2,47113.0,49878.4,50635.3,51879.6,53784.4,55487.6,55608.1,58411.7,60613.2,62818.0,65432.2,67147.3,69829.4,73819.6,77946.0,76453.0
 "15000","Hawaii",8,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",27488.8,28515.2,30345.4,31527.9,32673.8,34793.6,37263.4,40427.1,43283.7,45387.4,47392.4,46971.6,48013.4,49781.6,51522.3,53755.6,55526.2,57197.6,58616.6,61319.4,63974.4,66783.5,63900.8,71696.3,78713.6
 "15000","Hawaii",8,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),40589,38976,39512,39706,40160,38854,40455,41649,42718,43744,43549,44666,45839,46694,(NA)
 "15000","Hawaii",8,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),33993,32747,33349,33410,33777,33247,34017,34326,35013,35817,36811,37446,35205,37547,(NA)
 "15000","Hawaii",8,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",26625,27618,29174,30178,31353,32557,34336,36278,38315,40301,41887,41144,41499,42765,43531,43553,45448,47150,48555,50499,51546,53912,57036,61464,61779
 "15000","Hawaii",8,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",23445,24284,25593,26532,28089,29360,30947,32320,34060,35809,37440,37599,38005,38835,39492,39073,40727,41904,43114,44867,45986,47926,50873,53862,53085
 "15000","Hawaii",8,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",22620,23560,25006,25717,26358,27809,29259,31273,33048,34497,35574,34879,35173,35945,36670,37772,38715,39543,40231,42047,43813,45835,44038,49543,54655
 "15000","Hawaii",8,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),109.726,112.207,110.051,109.982,109.249,111.706,110.776,111.441,110.641,110.449,110.836,111.634,112.709,113.227,(NA)
 "15000","Hawaii",8,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),103.500,105.545,105.371,107.969,109.249,113.218,113.973,114.913,115.231,117.135,120.055,122.722,125.270,130.914,(NA)
 "15000","Hawaii",8,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",738175,738111,749439,752548,757694,773609,797234,819967,842375,864610,858384,829885,824450,834994,849130,868191,882702,901126,914921,921135,924352,914019,817697,861096,903622
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: October 4, 2023."
"U.S. Bureau of Economic Analysis"
