GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "16000","Idaho",7,SASUMMARY,1,"..."," Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),72935.1,77652.1,81261.3,82818.6,87992.9,91683.7
 "16000","Idaho",7,SASUMMARY,2,"..."," Real personal income (millions of constant (2012) dollars) 2/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),56210.3,54252.2,56629.4,57541.8,60112.1,61763.9,63856.4,67351.4,70498.7,71901.3,77144.5,81848.1,90742.6,94097.1,(NA)
 "16000","Idaho",7,SASUMMARY,3,"..."," Real PCE (millions of constant (2012) dollars) 3/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),46620.8,45332.6,47209.9,47252.2,48271.2,49492.4,50586.0,52448.5,55554.7,57181.6,61798.4,62895.5,64395.2,71190.1,(NA)
 "16000","Idaho",7,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),72935.1,79072.4,84550.2,88187.7,98792.8,110871.1
 "16000","Idaho",7,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",28498.1,30180.1,32667.0,34059.4,35213.9,36454.9,39386.7,41724.7,45887.7,48853.5,50157.4,48498.8,50201.9,53076.5,55719.8,57790.6,60897.0,64564.3,67294.1,71472.6,76529.6,83019.4,91888.5,103114.0,109775.9
 "16000","Idaho",7,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",25221.8,26588.4,28607.7,30013.8,31885.1,33232.1,35912.0,37401.4,40807.5,43427.9,45030.1,44632.5,46203.4,48406.4,50778.0,52301.8,55056.4,58068.7,60326.5,64179.3,69122.7,74688.7,82333.3,91551.3,96354.6
 "16000","Idaho",7,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",22579.8,24178.3,26126.5,27315.3,28411.8,30199.6,32418.9,35258.5,38332.4,41044.6,41871.2,40641.4,41809.5,43554.9,44975.4,47257.8,49478.7,50824.9,53613.5,56744.1,60086.6,62636.7,64146.6,75485.0,84364.2
 "16000","Idaho",7,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),36635,34901,36041,36269,37570,38172,38933,40514,41565,41465,43618,45269,49109,49501,(NA)
 "16000","Idaho",7,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),30385,29163,30046,29783,30169,30588,30842,31549,32755,32976,34941,34787,34850,37450,(NA)
 "16000","Idaho",7,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",22756,23658,25139,25803,26272,26739,28299,29214,31244,32459,32690,31200,31950,33454,34825,35716,37128,38838,39676,41218,43270,45917,49691,54148,56614
 "16000","Idaho",7,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",20140,20843,22016,22738,23788,24375,25803,26187,27785,28854,29349,28713,29405,30511,31736,32324,33567,34930,35568,37012,39082,41309,44524,48076,49692
 "16000","Idaho",7,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",18030,18953,20106,20694,21197,22151,23293,24687,26100,27270,27290,26145,26609,27453,28109,29207,30167,30573,31610,32724,33973,34643,34689,39639,43508
 "16000","Idaho",7,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),95.130,95.412,93.148,94.444,93.586,93.421,94.196,94.440,92.820,94.507,91.682,92.475,90.959,91.776,(NA)
 "16000","Idaho",7,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),89.732,89.746,89.187,92.716,93.586,94.686,96.915,97.383,96.670,100.228,99.307,101.660,101.096,106.112,(NA)
 "16000","Idaho",7,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",732684,747188,776910,783399,791317,800916,825332,861531,899836,929492,921093,880489,868683,878537,883162,903016,925548,949392,976719,1007831,1041387,1063687,1077864,1137618,1190624
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: October 4, 2023."
"U.S. Bureau of Economic Analysis"
