GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "20000","Kansas",4,SASUMMARY,1,"..."," Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),166273.6,169796.9,170351.7,168540.8,172839.8,174794.6
 "20000","Kansas",4,SASUMMARY,2,"..."," Real personal income (millions of constant (2012) dollars) 2/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),135505.0,128839.5,127661.8,134986.9,139449.7,141341.6,141648.7,143875.2,143913.7,146990.2,148691.7,152426.4,160785.7,164557.3,(NA)
 "20000","Kansas",4,SASUMMARY,3,"..."," Real PCE (millions of constant (2012) dollars) 3/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),103898.7,100261.4,99662.4,100887.7,100621.4,101402.8,102717.4,105720.3,107598.3,110256.2,111288.2,112298.4,110676.4,120136.6,(NA)
 "20000","Kansas",4,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),166273.6,173373.0,176917.7,177720.6,191831.7,209326.1
 "20000","Kansas",4,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",69711.2,71968.6,75870.8,78490.8,79285.4,81768.2,84076.9,88784.0,97838.9,105082.6,115298.3,111558.9,113843.0,123198.9,129849.7,132519.0,134773.9,136189.1,136753.6,141311.8,147407.4,152926.2,161704.7,172071.0,177474.7
 "20000","Kansas",4,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",60857.4,62775.8,66047.4,68631.9,70747.0,73743.6,75921.4,79360.5,86988.4,92794.7,102414.4,101627.0,103304.0,110895.4,117210.5,118814.7,120832.3,121933.7,122553.1,126799.2,132255.8,136926.5,145220.8,152140.4,154889.3
 "20000","Kansas",4,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",53617.7,57333.0,61303.2,63683.6,65329.7,68531.2,72552.8,76553.7,81251.6,85824.2,88677.2,86817.3,89031.3,92636.2,94824.3,96405.5,99265.8,101823.5,104334.8,107464.7,111300.0,114331.6,113231.5,124678.4,135311.8
 "20000","Kansas",4,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),48255,45483,44655,46993,48234,48711,48651,49227,49164,50212,50721,51956,54766,56075,(NA)
 "20000","Kansas",4,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),37000,35394,34861,35122,34804,34946,35280,36172,36758,37663,37962,38278,37698,40938,(NA)
 "20000","Kansas",4,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",26201,26871,28166,29047,29218,30029,30748,32340,35411,37748,41060,39382,39822,42889,44914,45670,46290,46597,46718,48272,50283,52127,55041,58569,60424
 "20000","Kansas",4,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",22874,23438,24519,25399,26072,27082,27766,28908,31484,33334,36471,35876,36135,38606,40542,40947,41502,41720,41867,43314,45114,46673,49430,51785,52735
 "20000","Kansas",4,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",20153,21406,22758,23568,24075,25168,26534,27885,29408,30830,31579,30648,31143,32250,32799,33224,34094,34839,35643,36710,37966,38971,38541,42438,46069
 "20000","Kansas",4,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),90.729,92.290,93.597,93.375,94.036,93.651,94.051,93.406,92.620,91.586,92.428,92.771,92.249,91.157,(NA)
 "20000","Kansas",4,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),85.581,86.811,89.617,91.665,94.036,94.919,96.766,96.316,96.463,97.130,100.115,101.986,102.529,105.396,(NA)
 "20000","Kansas",4,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",1723552,1740420,1760312,1767601,1746039,1733661,1750839,1765616,1795475,1844345,1858080,1813192,1801894,1819054,1841411,1868968,1895912,1910992,1916188,1913433,1925926,1924114,1878887,1920925,1982258
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: October 4, 2023."
"U.S. Bureau of Economic Analysis"
