GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "26000","Michigan",3,SASUMMARY,1,"..."," Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),505101.5,516843.0,517845.2,502483.7,531500.0,539898.2
 "26000","Michigan",3,SASUMMARY,2,"..."," Real personal income (millions of constant (2012) dollars) 2/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),397401.2,377683.0,386443.9,401623.9,411795.2,408992.9,418732.3,449113.5,458546.2,468965.2,468569.7,473797.2,513048.3,522600.8,(NA)
 "26000","Michigan",3,SASUMMARY,3,"..."," Real PCE (millions of constant (2012) dollars) 3/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),334804.5,329659.0,336675.1,344702.9,350487.4,354717.8,362256.3,379504.6,390155.6,401382.5,402760.4,403073.7,392014.3,420483.1,(NA)
 "26000","Michigan",3,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),505101.5,525240.8,536975.6,530231.1,576502.2,622562.7
 "26000","Michigan",3,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",268711.9,282128.9,301060.4,306670.4,306427.1,313961.0,322698.4,329235.3,336842.6,346731.9,356356.2,339100.0,352074.3,372954.2,387339.2,390857.9,407267.0,429284.9,441557.2,454894.8,474208.0,489493.1,531530.2,568132.0,572325.1
 "26000","Michigan",3,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",230722.7,242457.1,260067.6,266757.7,272152.4,281694.2,290993.3,295223.5,301200.4,308420.9,317728.0,310788.5,321080.3,336072.2,348254.6,347736.1,362554.6,380285.6,389478.1,402996.6,422585.8,436361.6,478807.5,503667.0,498611.5
 "26000","Michigan",3,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",202855.9,216134.0,229632.2,237866.0,245733.8,254913.0,266257.0,276793.6,285254.8,293376.0,301658.4,296177.6,307993.0,320415.1,331325.9,341572.6,355375.1,367082.2,381461.5,396468.1,412800.9,423687.0,414399.6,461918.5,496511.4
 "26000","Michigan",3,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),39952,38144,39113,40587,41508,41116,41980,44969,45777,46664,46528,47012,50960,51996,(NA)
 "26000","Michigan",3,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),33659,33294,34076,34834,35329,35660,36318,37999,38949,39939,39994,39994,38938,41836,(NA)
 "26000","Michigan",3,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",27286,28506,30250,30694,30595,31267,32092,32756,33563,34669,35826,34247,35635,37689,39043,39293,40830,42984,44081,45264,47088,48569,52786,56601,57038
 "26000","Michigan",3,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",23429,24498,26131,26699,27173,28054,28939,29372,30012,30838,31942,31388,32498,33962,35104,34958,36348,38078,38882,40100,41962,43297,47550,50179,49692
 "26000","Michigan",3,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",20599,21838,23073,23808,24535,25387,26479,27539,28423,29334,30327,29912,31173,32380,33397,34338,35628,36755,38081,39450,40991,42040,41154,46019,49482
 "26000","Michigan",3,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),95.540,95.747,95.628,94.959,94.731,95.072,95.536,93.809,93.591,92.604,94.380,95.288,94.557,94.253,(NA)
 "26000","Michigan",3,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),90.118,90.062,91.561,93.221,94.731,96.360,98.294,96.732,97.474,98.209,102.230,104.753,105.095,108.976,(NA)
 "26000","Michigan",3,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",5383530,5485654,5621494,5526201,5466125,5441678,5467547,5491717,5457438,5457366,5337592,5046457,5038098,5165197,5234356,5323127,5412068,5501527,5575793,5631139,5715122,5713233,5387741,5601637,5864009
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: October 4, 2023."
"U.S. Bureau of Economic Analysis"
