GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "28000","Mississippi",5,SASUMMARY,1,"..."," Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),110281.4,110174.8,110537.9,109894.1,114198.5,114152.9
 "28000","Mississippi",5,SASUMMARY,2,"..."," Real personal income (millions of constant (2012) dollars) 2/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),108014.2,109383.3,108672.6,109940.8,112783.6,112624.8,113045.4,115540.8,116002.2,118694.1,121168.2,123432.4,132800.1,135579.6,(NA)
 "28000","Mississippi",5,SASUMMARY,3,"..."," Real PCE (millions of constant (2012) dollars) 3/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),89457.0,90863.6,90230.2,90754.4,92001.4,91989.3,93017.9,95343.2,96302.0,98340.3,101609.8,101473.3,100957.8,107372.4,(NA)
 "28000","Mississippi",5,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),110281.4,113166.4,115441.7,116193.1,128364.5,139976.4
 "28000","Mississippi",5,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",56581.1,58494.4,61604.9,65064.1,66326.2,69011.9,73054.9,77635.0,80835.7,86187.0,90602.5,89414.0,92714.4,96643.4,99732.8,101472.1,103442.7,104772.2,106355.5,109132.8,111917.8,116256.3,125760.5,137381.7,136330.2
 "28000","Mississippi",5,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",51033.7,52728.7,55659.0,58842.1,60899.8,63740.2,68067.6,71859.7,74075.1,79077.6,82830.2,83298.1,85848.4,89538.2,92226.7,93290.6,95153.1,96008.0,97349.3,100383.5,103471.0,107233.4,116624.9,126394.1,123982.2
 "28000","Mississippi",5,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",44223.9,47202.9,50271.5,52641.0,55060.4,57833.1,61397.2,65017.7,69149.4,72680.2,75197.1,74237.4,77186.8,80082.1,81853.3,83679.2,85932.3,88020.8,90111.3,92341.8,94495.0,96100.5,96882.6,108194.0,116654.2
 "28000","Mississippi",5,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),36642,36969,36586,36919,37817,37710,37838,38708,38871,39785,40734,41574,44912,45960,(NA)
 "28000","Mississippi",5,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),30347,30710,30377,30476,30849,30801,31134,31941,32269,32963,34159,34178,34143,36398,(NA)
 "28000","Mississippi",5,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",20173,20681,21628,22806,23202,24060,25287,26716,27827,29432,30736,30220,31213,32454,33441,33976,34624,35100,35638,36580,37624,39157,42513,46577,46370
 "28000","Mississippi",5,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",18195,18643,19541,20625,21303,22222,23561,24729,25499,27004,28099,28153,28902,30068,30924,31237,31849,32164,32620,33647,34785,36118,39425,42851,42170
 "28000","Mississippi",5,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",15767,16689,17649,18451,19261,20163,21252,22374,23804,24819,25510,25091,25986,26892,27446,28018,28763,29488,30195,30952,31767,32368,32751,36681,39678
 "28000","Mississippi",5,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),89.157,86.837,89.445,89.927,89.126,89.755,89.761,89.178,89.165,87.674,86.095,86.490,85.844,86.601,(NA)
 "28000","Mississippi",5,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),84.098,81.681,85.641,88.281,89.126,90.970,92.352,91.956,92.864,92.982,93.256,95.081,95.411,100.128,(NA)
 "28000","Mississippi",5,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",1445429,1469707,1476295,1455992,1454782,1452910,1463650,1473724,1508313,1538835,1537448,1492328,1490777,1509966,1519741,1532509,1556854,1568216,1581199,1592198,1602929,1607308,1573290,1625695,1674142
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: October 4, 2023."
"U.S. Bureau of Economic Analysis"
