GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "38000","North Dakota",4,SASUMMARY,1,"..."," Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),56530.2,58516.4,59142.3,55699.1,55401.0,54798.7
 "38000","North Dakota",4,SASUMMARY,2,"..."," Real personal income (millions of constant (2012) dollars) 2/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),33007.1,31843.0,34379.0,37970.5,42482.3,42367.0,44594.3,43116.1,41744.2,42964.4,43345.6,43297.5,46388.6,47613.4,(NA)
 "38000","North Dakota",4,SASUMMARY,3,"..."," Real PCE (millions of constant (2012) dollars) 3/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),26361.6,26420.5,27102.2,29064.7,30195.4,32229.3,33719.8,34697.5,34411.3,35143.2,34514.2,33893.3,32987.2,35447.8,(NA)
 "38000","North Dakota",4,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),56530.2,60377.1,60516.3,55347.6,63208.6,72651.3
 "38000","North Dakota",4,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",15078.7,15257.9,16591.1,16930.7,17356.1,18949.5,19330.9,20501.4,21508.5,23828.8,26942.6,26722.1,29758.8,33588.0,39538.6,39538.7,42181.3,40408.2,39232.0,39743.7,42565.9,43968.2,47621.4,51261.7,54828.5
 "38000","North Dakota",4,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",13609.3,13756.4,14977.4,15225.0,15878.4,17510.3,17848.0,18801.6,19538.3,21527.7,24232.2,24522.5,27179.4,30154.4,35356.8,34942.8,37298.9,36000.1,35297.9,35877.1,38776.2,39843.4,43678.5,46526.7,49357.5
 "38000","North Dakota",4,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",12407.9,12999.5,13768.7,14510.0,15192.0,16036.0,17059.4,18124.6,19268.6,20413.5,21436.2,21992.6,23210.5,25631.3,28456.5,30444.7,32237.4,33069.1,32956.0,33030.2,34336.1,35554.3,35084.4,38281.5,41013.0
 "38000","North Dakota",4,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),50196,47887,50928,55265,60252,58246,59907,56531,54593,56040,56190,55759,59552,61441,(NA)
 "38000","North Dakota",4,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),40090,39732,40148,42303,42826,44309,45298,45493,45003,45839,44742,43648,42348,45742,(NA)
 "38000","North Dakota",4,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",23286,23683,25842,26493,27197,29663,29984,31731,33120,36501,40973,40186,44084,48886,56077,54358,56665,52981,51307,51839,55180,56622,61091,65895,70360
 "38000","North Dakota",4,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",21017,21352,23329,23824,24881,27410,27684,29101,30086,32976,36851,36878,40263,43889,50147,48039,50106,47201,46162,46796,50267,51310,56033,59808,63339
 "38000","North Dakota",4,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",19162,20177,21446,22705,23806,25103,26461,28053,29670,31270,32599,33073,34383,37306,40360,41855,43307,43358,43099,43083,44511,45787,45008,49209,52631
 "38000","North Dakota",4,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),86.837,89.394,90.909,90.447,93.810,93.122,93.455,92.781,91.657,88.588,91.225,93.366,92.246,91.103,(NA)
 "38000","North Dakota",4,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),81.910,84.086,87.042,88.791,93.810,94.383,96.153,95.672,95.460,93.951,98.812,102.640,102.526,105.334,(NA)
 "38000","North Dakota",4,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",434930,435651,440643,445433,442530,443692,453079,461638,471131,482494,491887,492409,503803,529778,567381,586758,607113,597638,576701,573077,578397,581406,560448,567834,587819
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: October 4, 2023."
"U.S. Bureau of Economic Analysis"
