GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "31000","Nebraska",4,SASUMMARY,1,"..."," Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),123219.9,125543.4,127481.8,126890.6,133495.7,137078.1
 "31000","Nebraska",4,SASUMMARY,2,"..."," Real personal income (millions of constant (2012) dollars) 2/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),85061.6,83219.2,84914.4,92908.4,93329.3,93010.8,96914.1,101381.5,99551.4,102154.5,101836.8,104517.6,109953.1,113636.3,(NA)
 "31000","Nebraska",4,SASUMMARY,3,"..."," Real PCE (millions of constant (2012) dollars) 3/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),66810.4,65558.6,66504.1,68500.9,69079.3,70125.9,71543.3,73957.6,76230.8,79286.9,79078.4,79331.5,77909.7,85501.9,(NA)
 "31000","Nebraska",4,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),123219.9,127954.4,132741.0,135285.0,149360.3,164933.9
 "31000","Nebraska",4,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",44747.0,46824.4,49570.3,51911.8,52804.3,56102.2,58597.2,60598.1,63317.2,68098.6,72377.3,71459.7,75194.1,84096.1,86235.9,86022.2,91084.5,94681.7,93559.7,95823.7,100067.8,104489.9,111347.5,123080.5,126473.5
 "31000","Nebraska",4,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",39377.3,41193.4,43504.3,45845.6,47546.1,51111.1,53402.9,54755.6,56706.2,60707.9,64841.2,65480.0,68668.6,76509.2,77995.0,77154.9,81556.5,84839.7,83667.2,85936.9,90267.0,93922.6,100316.2,109846.9,111484.5
 "31000","Nebraska",4,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",33885.1,36147.8,38737.2,40332.1,41528.8,43884.8,46911.4,49719.4,52401.4,54871.6,57074.3,56205.1,59014.4,62248.7,64342.3,65789.7,68366.5,70248.1,72752.0,75186.4,77805.0,79902.0,79234.1,89281.3,97455.4
 "31000","Nebraska",4,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),47352,45909,46397,50390,50207,49649,51280,53234,51813,52811,52348,53464,56057,57869,(NA)
 "31000","Nebraska",4,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),37192,36167,36338,37153,37162,37433,37855,38834,39675,40989,40650,40580,39720,43541,(NA)
 "31000","Nebraska",4,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",26387,27467,28924,30184,30553,32268,33496,34401,35718,38184,40291,39422,41086,45611,46391,45918,48195,49716,48695,49538,51439,53450,56733,62682,64268
 "31000","Nebraska",4,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",23220,24164,25384,26657,27510,29397,30527,31085,31989,34040,36096,36123,37521,41496,41958,41185,43154,44548,43546,44427,46401,48044,51113,55943,56651
 "31000","Nebraska",4,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",19982,21204,22603,23451,24029,25241,26816,28226,29560,30767,31772,31007,32246,33762,34613,35118,36174,36886,37865,38869,39995,40872,40371,45469,49522
 "31000","Nebraska",4,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),90.842,91.673,92.985,92.462,93.087,92.835,92.920,92.259,91.662,89.751,91.768,92.382,92.454,91.751,(NA)
 "31000","Nebraska",4,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),85.688,86.230,89.030,90.770,93.087,94.092,95.602,95.134,95.464,95.184,99.400,101.558,102.758,106.083,(NA)
 "31000","Nebraska",4,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",1138369,1156816,1173756,1175112,1165998,1169210,1180188,1192187,1208036,1230968,1237394,1223251,1219855,1232536,1251331,1266360,1282738,1302877,1310927,1317730,1330415,1328389,1305651,1334434,1372111
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: October 4, 2023."
"U.S. Bureau of Economic Analysis"
