GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "33000","New Hampshire",1,SASUMMARY,1,"..."," Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),81179.6,82269.5,84031.2,83182.1,89890.1,90150.5
 "33000","New Hampshire",1,SASUMMARY,2,"..."," Real personal income (millions of constant (2012) dollars) 2/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),60502.6,61006.3,63069.6,64737.1,66693.9,65825.5,67658.4,69662.7,70119.3,70958.0,74065.5,77808.0,80981.2,86042.2,(NA)
 "33000","New Hampshire",1,SASUMMARY,3,"..."," Real PCE (millions of constant (2012) dollars) 3/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),52093.1,52977.4,54173.3,54654.6,55068.9,55907.8,57003.7,58239.2,58562.7,59309.6,61852.8,62836.0,60801.9,66480.0,(NA)
 "33000","New Hampshire",1,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),81179.6,83859.4,87472.0,88589.4,99100.0,105024.6
 "33000","New Hampshire",1,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",36597.5,38930.2,43796.1,46179.9,46972.3,47833.0,50733.0,52464.3,56084.9,58305.5,60153.8,59381.5,61880.9,64888.9,67318.1,67121.8,69630.5,72779.6,75229.0,78661.0,82353.7,87706.3,93582.0,100196.8,103121.9
 "33000","New Hampshire",1,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",32062.5,33902.4,37811.9,40508.2,42277.0,43474.7,46275.1,47430.3,50473.1,52137.8,53988.2,54740.2,56818.2,58915.4,61385.4,60565.5,62558.6,65022.4,66972.9,70366.5,74159.2,78765.4,84199.8,88716.3,90223.6
 "33000","New Hampshire",1,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",29629.6,31953.0,34576.4,36590.7,38488.0,41132.5,43735.2,46409.1,48795.0,51242.1,52038.1,51722.7,53357.3,54918.3,56524.0,58076.5,59367.3,61727.9,63337.2,66704.2,69023.5,71097.1,70800.5,78403.1,84869.2
 "33000","New Hampshire",1,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),45978,46354,47885,48973,50248,49454,50521,51846,51900,52214,54265,56718,58774,61946,(NA)
 "33000","New Hampshire",1,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),39587,40253,41131,41346,41490,42003,42565,43345,43346,43643,45318,45804,44128,47862,(NA)
 "33000","New Hampshire",1,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",30348,31857,35323,36782,37013,37374,39324,40404,42866,44422,45713,45119,46983,49088,50719,50428,51993,54166,55681,57882,60338,63934,67883,72214,73910
 "33000","New Hampshire",1,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",26587,27743,30496,32264,33313,33969,35869,36527,38576,39723,41027,41593,43139,44569,46249,45502,46713,48393,49571,51779,54334,57416,61077,63939,64666
 "33000","New Hampshire",1,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",24570,26148,27887,29144,30327,32139,33900,35741,37294,39040,39545,39300,40511,41545,42586,43632,44330,45941,46880,49084,50571,51826,51357,56507,60828
 "33000","New Hampshire",1,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),105.908,103.578,102.874,102.339,101.885,101.615,101.418,102.462,104.413,105.653,103.727,104.061,105.258,102.510,(NA)
 "33000","New Hampshire",1,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),99.898,97.428,98.498,100.466,101.885,102.991,104.346,105.654,108.745,112.049,112.354,114.398,116.989,118.523,(NA)
 "33000","New Hampshire",1,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",743341,760763,783545,788168,788485,797649,812824,825602,835584,848007,844885,820826,813758,818810,824378,835032,844521,860652,873123,882481,892584,890072,858471,894739,933022
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: October 4, 2023."
"U.S. Bureau of Economic Analysis"
