GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "39000","Ohio",3,SASUMMARY,1,"..."," Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),652187.5,656212.0,674123.4,654586.3,686206.4,689681.3
 "39000","Ohio",3,SASUMMARY,2,"..."," Real personal income (millions of constant (2012) dollars) 2/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),486456.5,469575.1,476237.0,500767.5,507110.4,507549.9,521060.5,545498.9,549630.3,562913.7,565879.1,576408.9,618686.1,628659.7,(NA)
 "39000","Ohio",3,SASUMMARY,3,"..."," Real PCE (millions of constant (2012) dollars) 3/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),401322.8,391962.8,398688.3,408607.0,411365.3,416168.6,424714.3,440161.4,447327.1,457629.4,460031.2,462835.0,456881.6,485839.9,(NA)
 "39000","Ohio",3,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),652187.5,672540.1,703127.8,692121.9,759626.2,825990.0
 "39000","Ohio",3,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",298491.4,307407.0,323812.5,333209.3,338462.5,348428.7,361753.0,371633.8,390090.0,406786.5,422085.7,410350.4,422204.4,449923.8,466162.1,473218.8,492475.6,511339.8,521622.5,541289.4,562523.0,582400.4,623836.0,670872.7,679233.0
 "39000","Ohio",3,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",257448.3,265366.2,278933.3,287987.7,297867.6,310060.4,322505.1,329124.8,344213.7,357827.2,373451.4,372169.5,381366.5,402255.0,417110.6,420652.7,438364.6,453852.0,463262.7,482233.5,504008.7,520851.0,562043.6,596845.4,595266.6
 "39000","Ohio",3,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",230506.0,244074.9,260381.2,270966.5,280073.8,292806.3,305549.4,319761.2,330574.5,343184.5,349080.4,343501.1,355279.6,369404.2,381767.1,394401.6,406986.6,419081.2,431032.4,447950.5,463218.0,475838.1,468366.2,520162.4,561567.5
 "39000","Ohio",3,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),42244,40730,41262,43327,43818,43710,44732,46727,46969,47958,48107,48896,52473,53367,(NA)
 "39000","Ohio",3,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),34851,33998,34543,35353,35545,35841,36461,37704,38227,38988,39109,39261,38750,41243,(NA)
 "39000","Ohio",3,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",26388,27119,28496,29261,29669,30471,31588,32419,33976,35371,36654,35593,36580,38928,40280,40754,42278,43801,44576,46116,47822,49404,52879,57026,57777
 "39000","Ohio",3,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",22760,23410,24546,25290,26111,27116,28161,28711,29981,31114,32431,32281,33042,34803,36042,36227,37633,38877,39589,41084,42848,44183,47641,50733,50635
 "39000","Ohio",3,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",20378,21532,22914,23795,24551,25607,26680,27894,28793,29841,30314,29795,30782,31961,32988,33966,34939,35898,36834,38164,39380,40364,39700,44215,47768
 "39000","Ohio",3,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),92.513,93.451,93.420,92.402,93.150,93.256,93.188,92.396,92.618,91.938,92.954,93.280,92.102,92.459,(NA)
 "39000","Ohio",3,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),87.264,87.903,89.447,90.710,93.150,94.519,95.878,95.274,96.460,97.504,100.685,102.546,102.366,106.902,(NA)
 "39000","Ohio",3,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",6599132,6681355,6789300,6725753,6640234,6620832,6666590,6709205,6747288,6794947,6725207,6454988,6418141,6521630,6605925,6681685,6771706,6862150,6931328,6987847,7067380,7071612,6852979,7048306,7305177
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: October 4, 2023."
"U.S. Bureau of Economic Analysis"
