GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "40000","Oklahoma",6,SASUMMARY,1,"..."," Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),192538.6,196030.5,199462.1,190751.7,193518.0,191583.0
 "40000","Oklahoma",6,SASUMMARY,2,"..."," Real personal income (millions of constant (2012) dollars) 2/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),168501.2,158113.6,160021.7,166958.2,174891.2,181077.0,189720.5,184799.0,173959.3,181159.6,187869.3,195244.0,201106.9,206387.4,(NA)
 "40000","Oklahoma",6,SASUMMARY,3,"..."," Real PCE (millions of constant (2012) dollars) 3/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),119638.4,119331.3,120300.5,122592.7,124217.5,125604.1,128094.1,130635.4,131625.3,134440.0,139778.2,140973.4,138225.0,147633.3,(NA)
 "40000","Oklahoma",6,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),192538.6,204193.9,205262.6,191653.5,217730.8,242738.5
 "40000","Oklahoma",6,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",74943.6,76956.5,83332.1,88609.5,90711.6,95275.7,102917.3,112487.6,124536.5,128994.3,143654.9,133218.3,139695.1,150302.0,159875.4,167796.9,177635.7,172726.3,164709.0,171995.4,180824.0,189981.3,199233.2,220176.5,226308.0
 "40000","Oklahoma",6,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",65999.2,67680.0,73314.1,78012.9,81642.4,86612.6,93856.1,101725.7,111958.3,115348.4,129035.7,122613.0,128617.5,136557.4,145407.0,152150.6,161105.4,156076.6,149062.1,155923.7,164969.7,173380.2,183493.8,201401.1,204841.6
 "40000","Oklahoma",6,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",59559.4,63186.5,67413.9,70504.1,72558.4,76432.6,80535.4,86541.3,92246.7,97558.5,102059.5,100406.0,105035.7,110491.4,114070.9,117602.1,122262.2,124004.0,126384.5,130253.9,136007.7,138457.3,137768.3,155213.9,169016.4
 "40000","Oklahoma",6,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),45926,42531,42564,44091,45839,47056,49003,47372,44413,46209,47822,49507,50759,51770,(NA)
 "40000","Oklahoma",6,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),32608,32099,31998,32375,32557,32640,33086,33487,33605,34292,35581,35746,34887,37032,(NA)
 "40000","Oklahoma",6,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",22009,22390,24124,25557,25999,27184,29194,31699,34650,35493,39154,35835,37157,39693,41903,43605,45882,44277,42052,43871,46029,48172,50249,55165,56298
 "40000","Oklahoma",6,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",19382,19691,21224,22501,23399,24712,26624,28666,31151,31738,35169,32982,34211,36063,38111,39539,41612,40009,38057,39772,41993,43963,46279,50461,50958
 "40000","Oklahoma",6,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",17491,18383,19516,20335,20796,21807,22845,24387,25666,26843,27817,27008,27938,29179,29898,30561,31579,31787,32267,33224,34621,35108,34747,38889,42046
 "40000","Oklahoma",6,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),90.868,89.898,91.599,92.083,92.261,92.416,92.582,92.065,92.118,90.872,89.810,89.573,89.829,90.269,(NA)
 "40000","Oklahoma",6,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),85.712,84.560,87.703,90.398,92.261,93.667,95.255,94.933,95.939,96.373,97.279,98.470,99.840,104.369,(NA)
 "40000","Oklahoma",6,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",1938705,1953349,1994373,2009183,1987636,1971410,1998176,2043188,2096099,2150026,2186721,2136754,2130312,2159073,2211969,2249096,2273648,2287838,2287131,2291944,2312261,2310371,2266945,2314387,2412886
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: October 4, 2023."
"U.S. Bureau of Economic Analysis"
