GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "45000","South Carolina",5,SASUMMARY,1,"..."," Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),224937.6,231663.3,237511.4,233712.3,244854.0,250873.4
 "45000","South Carolina",5,SASUMMARY,2,"..."," Real personal income (millions of constant (2012) dollars) 2/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),172321.0,170425.8,170553.7,174603.0,181369.3,180701.9,190224.6,201425.4,206062.3,216054.4,222456.2,235950.8,249792.9,252155.0,(NA)
 "45000","South Carolina",5,SASUMMARY,3,"..."," Real PCE (millions of constant (2012) dollars) 3/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),151708.5,151836.9,153731.5,154888.5,156862.7,159827.9,165275.0,170738.6,174699.6,181929.1,188723.9,195019.6,194492.0,207502.5,(NA)
 "45000","South Carolina",5,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),224937.6,236561.7,248046.5,249482.2,271494.5,297546.3
 "45000","South Carolina",5,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",89751.9,94148.5,100705.3,104242.1,107305.3,111196.7,117451.8,124417.0,134174.2,143055.1,149954.4,146753.7,151745.9,160391.1,168271.2,170204.8,180837.7,192054.7,200027.4,210387.6,219942.1,234324.0,250288.3,274347.8,283245.8
 "45000","South Carolina",5,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",79000.7,82797.4,88902.1,92231.7,96795.1,101099.6,106931.2,112181.6,120366.3,128012.7,135314.9,135219.7,139620.1,146192.4,153536.0,153736.0,163645.6,172635.5,179244.4,189000.0,198319.8,210138.8,225754.9,244758.9,248592.2
 "45000","South Carolina",5,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",74708.7,80120.3,85734.9,89205.2,92798.8,97641.0,104869.7,112568.8,119796.4,127725.5,132802.1,131213.5,137523.2,143267.1,146268.9,151499.5,158383.2,164635.0,171615.5,178743.4,186670.7,194674.0,195695.6,222946.9,244163.4
 "45000","South Carolina",5,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),38048,37131,36806,37446,38580,38120,39694,41508,41961,43509,44305,46469,48686,48578,(NA)
 "45000","South Carolina",5,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),33497,33081,33175,33218,33367,33717,34488,35184,35575,36637,37586,38408,37907,39976,(NA)
 "45000","South Carolina",5,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",22900,23687,25025,25644,26122,26792,27892,29136,30789,32190,33110,31973,32747,34398,35794,35906,37735,39577,40732,42368,43804,46149,48772,52828,53618
 "45000","South Carolina",5,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",20157,20831,22092,22689,23564,24360,25394,26271,27621,28805,29877,29460,30130,31353,32660,32432,34148,35575,36500,38061,39498,41386,43991,47130,47058
 "45000","South Carolina",5,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",19062,20158,21305,21945,22591,23526,24904,26362,27490,28740,29323,28588,29678,30726,31114,31960,33050,33927,34947,35995,37178,38340,38134,42930,46220
 "45000","South Carolina",5,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),92.693,91.771,93.357,93.928,93.414,93.829,93.546,93.740,94.421,92.892,92.221,91.572,91.035,93.693,(NA)
 "45000","South Carolina",5,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),87.433,86.322,89.387,92.208,93.414,95.100,96.247,96.661,98.338,98.516,99.891,100.667,101.180,108.329,(NA)
 "45000","South Carolina",5,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",2191440,2240690,2279819,2256571,2248075,2263806,2305699,2356325,2418647,2482361,2472467,2367944,2357679,2427453,2453323,2500985,2564027,2636275,2700187,2759183,2843694,2882364,2825233,2938337,3067127
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: October 4, 2023."
"U.S. Bureau of Economic Analysis"
