GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "00000","United States", ,SASUMMARY,1,"..."," Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),19612102.0,20193896.0,20692087.0,20234074.0,21407692.0,21822037.0
 "00000","United States", ,SASUMMARY,2,"..."," Real personal income (millions of constant (2012) dollars) 2/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),13226438.1,12835528.5,13145590.4,13578992.1,14003346.0,13999660.3,14549525.5,15207440.0,15451718.3,15876254.0,16314204.8,16897074.2,17825584.2,18412541.1,(NA)
 "00000","United States", ,SASUMMARY,3,"..."," Real PCE (millions of constant (2012) dollars) 3/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),10654688.5,10515591.5,10716007.5,10898345.3,11047363.2,11211711.4,11515312.3,11892947.4,12187675.5,12478228.1,12837303.4,13092261.6,12700723.2,13754090.1,(NA)
 "00000","United States", ,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),19612102.0,20656516.0,21521395.0,21322950.0,23594031.0,25744108.0
 "00000","United States", ,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",7584003.0,7978449.0,8620234.0,8990104.0,9146700.0,9474684.0,10008929.0,10540800.0,11291446.0,11925044.0,12423410.0,12058253.0,12547501.0,13299818.0,13905749.0,14063283.0,14778160.0,15467113.0,15884741.0,16658962.0,17514402.0,18343601.0,19609985.0,21392812.0,21820248.0
 "00000","United States", ,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",6552573.0,6867565.0,7384984.0,7752177.0,8095517.0,8472238.0,8961305.0,9329615.0,9935978.0,10434213.0,10917599.0,10907346.0,11311497.0,11848163.0,12398279.0,12387353.0,12994137.0,13527926.0,13927450.0,14611591.0,15442207.0,16146403.0,17355580.0,18651847.0,18684871.0
 "00000","United States", ,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",5877248.2,6283757.5,6767179.3,7073801.0,7348940.8,7740749.4,8231960.2,8769066.1,9277235.6,9746593.5,10050083.4,9891218.5,10260256.2,10698857.0,11047363.2,11388233.3,11874450.4,12297437.8,12726848.8,13290625.5,13934441.7,14417614.0,14206231.3,16042964.3,17511744.6
 "00000","United States", ,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),43495,41841,42490,43545,44548,44200,45571,47253,47636,48607,49656,51167,53772,55477,(NA)
 "00000","United States", ,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),35037,34278,34637,34948,35144,35398,36068,36954,37574,38204,39074,39646,38313,41441,(NA)
 "00000","United States", ,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",27493,28592,30551,31548,31801,32659,34183,35669,37843,39588,40854,39307,40557,42649,44237,44401,46287,48060,48971,51004,53309,55547,59153,64430,65470
 "00000","United States", ,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",23754,24611,26173,27204,28146,29204,30605,31571,33300,34639,35902,35555,36562,37994,39442,39109,40700,42034,42937,44735,47002,48894,52353,56175,56062
 "00000","United States", ,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",21306,22519,23983,24823,25550,26682,28114,29674,31092,32356,33049,32243,33164,34309,35144,35955,37192,38211,39236,40691,42413,43659,42853,48318,52542
 "00000","United States", ,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,(NA)
 "00000","United States", ,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
 "00000","United States", ,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",158481200,161531300,165370800,165522200,165095100,165921500,168839700,172338400,175868600,179543700,179213900,173636700,172901700,176091700,178979700,182328100,186239800,190325800,193425900,196394100,200292200,201635200,195286600,202752100,212442000
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: October 4, 2023."
"U.S. Bureau of Economic Analysis"
