GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "50000","Vermont",1,SASUMMARY,1,"..."," Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),32589.2,32827.8,33207.6,32307.1,33860.8,34609.4
 "50000","Vermont",1,SASUMMARY,2,"..."," Real personal income (millions of constant (2012) dollars) 2/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),26895.5,26719.3,27569.4,28619.1,28775.4,28647.1,29895.5,30167.6,30536.8,30585.2,30976.6,32615.0,33687.4,35126.6,(NA)
 "50000","Vermont",1,SASUMMARY,3,"..."," Real PCE (millions of constant (2012) dollars) 3/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),24464.9,24494.0,25305.5,25957.9,25985.3,26098.3,26976.3,26806.9,27099.6,27020.8,27625.1,28095.8,26167.1,28727.5,(NA)
 "50000","Vermont",1,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),32589.2,33482.6,34628.1,34470.8,37593.5,40830.8
 "50000","Vermont",1,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",15458.6,16326.2,17680.2,18797.4,19198.1,19945.8,21049.1,21477.4,22803.5,24063.0,25449.4,25216.4,25988.7,27547.8,28291.9,28666.0,29724.5,30598.0,31073.3,31960.2,33117.1,34824.1,37273.8,39603.5,40790.3
 "50000","Vermont",1,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",13576.6,14318.4,15439.1,16532.0,17182.1,18088.2,19127.1,19286.0,20354.4,21368.7,22740.5,23143.6,23828.5,24950.8,25699.9,25784.6,26684.2,27383.0,27754.9,28590.0,29770.8,31150.9,33504.1,34985.7,35537.9
 "50000","Vermont",1,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",13526.0,14474.9,15570.5,16489.8,17271.9,18282.3,19403.9,20536.5,21455.0,22332.4,23078.8,23089.7,23877.2,25092.6,25712.6,26238.4,27111.7,27492.6,27779.6,28687.9,30274.9,30928.4,30323.7,33123.2,36069.1
 "50000","Vermont",1,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),43091,42763,44015,45457,45627,45269,47167,47443,47988,47860,48351,50815,52432,54412,(NA)
 "50000","Vermont",1,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),39197,39202,40401,41230,41203,41241,42561,42158,42586,42282,43119,43774,40727,44499,(NA)
 "50000","Vermont",1,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",25747,27000,29002,30704,31194,32282,33955,34573,36609,38595,40774,40358,41492,43756,44861,45298,46897,48120,48831,50011,51692,54257,57978,61214,63039
 "50000","Vermont",1,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",22612,23679,25326,27003,27918,29276,30854,31046,32677,34273,36434,37041,38043,39631,40751,40745,42100,43064,43616,44738,46469,48534,52115,54076,54922
 "50000","Vermont",1,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",22528,23938,25541,26934,28064,29590,31301,33059,34444,35819,36976,36954,38121,39856,40771,41462,42775,43236,43655,44891,47255,48187,47168,51197,55743
 "50000","Vermont",1,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),101.024,100.767,99.171,98.701,99.373,99.891,98.307,100.081,99.491,100.273,100.300,99.456,102.073,98.660,(NA)
 "50000","Vermont",1,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),95.291,94.783,94.953,96.895,99.373,101.243,101.144,103.199,103.618,106.343,108.642,109.335,113.449,114.071,(NA)
 "50000","Vermont",1,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",381006,389726,400963,403836,405648,406047,413086,417100,421001,425046,424280,414213,413335,416949,421870,424997,429010,432560,433791,435861,437661,433442,409316,421226,436306
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: October 4, 2023."
"U.S. Bureau of Economic Analysis"
