GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "53000","Washington",8,SASUMMARY,1,"..."," Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),527169.4,561785.7,588930.4,590401.0,630819.8,641143.6
 "53000","Washington",8,SASUMMARY,2,"..."," Real personal income (millions of constant (2012) dollars) 2/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),296308.3,282495.7,292532.4,299935.6,319364.0,322942.6,338857.0,358067.0,368814.6,375135.3,392478.4,413716.1,441320.5,454854.4,(NA)
 "53000","Washington",8,SASUMMARY,3,"..."," Real PCE (millions of constant (2012) dollars) 3/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),235866.6,233000.1,241506.6,244956.6,250299.6,256896.4,262296.2,273285.5,281069.1,285821.2,299041.0,304762.1,297347.9,318114.2,(NA)
 "53000","Washington",8,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),527169.4,570337.8,608966.4,621493.2,688631.9,738101.4
 "53000","Washington",8,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",169365.4,179870.3,192317.8,197445.7,201073.1,209167.8,224342.9,232783.8,253199.9,274770.4,289381.1,277889.8,285436.7,302460.8,324882.7,330952.6,355276.6,376360.8,397270.6,423017.2,451609.2,484334.2,522713.8,574266.8,586520.2
 "53000","Washington",8,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",147529.0,154038.2,165920.0,173357.9,180733.6,190017.3,205163.5,210568.1,227444.9,245244.8,260539.4,256416.2,262234.4,274208.7,295266.1,297401.9,318181.6,334638.6,351840.5,375839.4,403282.5,431346.3,466720.8,505590.1,506751.5
 "53000","Washington",8,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",131479.4,141339.1,152295.4,156985.3,162779.9,171974.9,183481.6,195664.6,209686.6,222210.3,232285.5,229607.5,236856.5,247788.1,256777.8,266531.7,279767.5,291926.6,306811.4,325690.0,345880.5,360564.3,356914.4,403720.9,440420.2
 "53000","Washington",8,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),45154,42370,43379,43911,46258,46306,47942,49867,50413,50375,51994,54161,57175,58777,(NA)
 "53000","Washington",8,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),35943,34946,35813,35862,36254,36835,37110,38060,38419,38382,39616,39897,38523,41107,(NA)
 "53000","Washington",8,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",29355,30786,32538,32986,33222,34267,36309,37202,39744,42524,44098,41679,42327,44281,47057,47454,50265,52415,54302,56805,59827,63405,67674,74188,75332
 "53000","Washington",8,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",25570,26365,28072,28962,29862,31129,33205,33652,35701,37954,39703,38458,38886,40145,42767,42643,45017,46604,48092,50470,53425,56469,60425,65315,65087
 "53000","Washington",8,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",22788,24191,25767,26227,26895,28174,29696,31270,32914,34389,35397,34437,35123,36277,37192,38217,39582,40656,41937,43736,45821,47202,46208,52155,56567
 "53000","Washington",8,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),103.975,104.498,102.108,102.739,102.442,102.107,103.313,103.411,104.816,107.452,107.175,108.036,107.899,108.885,(NA)
 "53000","Washington",8,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),98.075,98.294,97.765,100.858,102.442,103.489,106.295,106.632,109.164,113.957,116.089,118.767,119.924,125.894,(NA)
 "53000","Washington",8,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",3382924,3446900,3526778,3515729,3489176,3516324,3585288,3687833,3798218,3924866,3954871,3815623,3771422,3814269,3909118,3991747,4094370,4199164,4313722,4432271,4537842,4592322,4435738,4576236,4815623
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: October 4, 2023."
"U.S. Bureau of Economic Analysis"
