GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "55000","Wisconsin",3,SASUMMARY,1,"..."," Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),321886.8,328832.4,333698.6,322972.7,334517.3,335688.5
 "55000","Wisconsin",3,SASUMMARY,2,"..."," Real personal income (millions of constant (2012) dollars) 2/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),250486.5,244880.9,246424.8,255777.0,261757.1,260444.6,266920.4,280213.6,282116.3,287595.0,293686.6,300040.2,321084.8,326703.2,(NA)
 "55000","Wisconsin",3,SASUMMARY,3,"..."," Real PCE (millions of constant (2012) dollars) 3/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),205548.7,202181.9,204121.0,208381.7,207383.0,209944.2,213070.7,219644.4,224032.8,228425.9,233683.3,234813.5,233021.4,246726.6,(NA)
 "55000","Wisconsin",3,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),321886.8,335144.3,347398.6,343783.0,369032.4,396209.3
 "55000","Wisconsin",3,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",143130.0,148737.0,158494.2,166593.2,171010.0,175794.3,183721.4,189779.2,201058.4,210529.9,219194.5,216211.9,222260.9,234631.6,244508.3,245762.3,255165.3,266132.0,270846.6,281979.5,295996.8,307907.6,326836.5,355048.0,362245.3
 "55000","Wisconsin",3,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",122956.4,127885.1,136613.4,144424.5,151497.8,157031.4,164664.0,168712.5,177637.8,185752.5,193376.8,195506.2,200847.9,209758.0,218843.8,217673.1,226522.3,234745.6,238235.6,249551.8,263392.8,272613.3,292376.3,314662.1,316668.0
 "55000","Wisconsin",3,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",108943.1,116373.8,124865.7,130433.5,135786.6,143467.5,152103.7,160323.9,168429.6,174884.0,180266.0,178468.8,184793.5,191591.3,195140.7,199941.2,206949.5,212242.0,218417.9,227938.3,236881.7,243754.2,238385.3,267489.6,290410.8
 "55000","Wisconsin",3,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),44405,43194,43293,44770,45649,45238,46193,48362,48537,49276,50128,51026,54492,55412,(NA)
 "55000","Wisconsin",3,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),36438,35663,35861,36474,36167,36466,36874,37908,38544,39138,39886,39933,39547,41847,(NA)
 "55000","Wisconsin",3,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",27018,27892,29493,30812,31406,32084,33319,34218,36047,37522,38857,38138,39048,41069,42641,42688,44159,45932,46598,48313,50522,52364,55431,60381,61475
 "55000","Wisconsin",3,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",23210,23981,25421,26711,27822,28660,29863,30420,31848,33106,34281,34485,35286,36715,38166,37809,39202,40515,40988,42757,44957,46361,49587,53513,53741
 "55000","Wisconsin",3,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",20564,21823,23235,24124,24937,26184,27585,28907,30197,31169,31956,31480,32465,33535,34032,34729,35815,36631,37578,39054,40432,41453,40430,45491,49284
 "55000","Wisconsin",3,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),93.336,94.102,94.644,93.898,94.206,94.018,94.203,93.502,93.577,93.532,93.973,94.492,92.657,93.347,(NA)
 "55000","Wisconsin",3,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),88.040,88.514,90.619,92.179,94.206,95.291,96.922,96.415,97.459,99.194,101.788,103.878,102.983,107.929,(NA)
 "55000","Wisconsin",3,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",3287793,3350388,3413585,3403719,3395194,3413427,3467823,3511454,3547006,3585326,3572816,3444538,3426369,3474372,3499342,3539199,3585944,3624473,3657732,3678859,3721096,3718385,3581998,3684969,3819180
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: October 4, 2023."
"U.S. Bureau of Economic Analysis"
