GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "56000","Wyoming",7,SASUMMARY,1,"..."," Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),37620.3,37977.2,38558.2,36181.3,36929.5,37294.2
 "56000","Wyoming",7,SASUMMARY,2,"..."," Real personal income (millions of constant (2012) dollars) 2/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),30037.3,27405.0,28759.4,30128.1,32161.2,31911.3,33389.4,33514.3,31411.1,32095.1,34886.7,35840.6,37498.1,38263.6,(NA)
 "56000","Wyoming",7,SASUMMARY,3,"..."," Real PCE (millions of constant (2012) dollars) 3/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),20985.0,20349.6,20940.6,21087.8,21768.5,22246.0,22415.0,22814.6,22675.7,22893.3,24388.6,24050.2,24182.2,26192.8,(NA)
 "56000","Wyoming",7,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),37620.3,39614.5,39971.4,36675.5,42176.2,49080.6
 "56000","Wyoming",7,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",12615.1,13476.8,14545.3,15440.8,15905.3,16937.2,18287.4,20004.4,22895.5,24408.3,27002.5,24912.8,26185.4,28699.9,30844.4,30694.1,32679.6,32755.6,31090.1,32487.4,34025.2,35592.6,37866.4,40866.6,42584.7
 "56000","Wyoming",7,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",11024.3,11752.6,12587.2,13480.3,14289.0,15401.7,16670.1,17923.1,20126.5,21354.9,23836.3,22905.9,23848.2,26059.7,27480.5,27277.9,29090.1,29232.0,27991.0,29163.1,30817.8,32046.1,33863.6,35940.5,36817.9
 "56000","Wyoming",7,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",9906.0,10605.6,11358.3,11806.2,12308.2,13098.6,14131.0,15251.4,16490.2,17943.9,18653.2,18747.7,19193.0,20319.1,21223.3,21914.2,22984.5,23143.3,23542.4,23897.6,24652.3,25235.7,25579.8,28312.5,30465.8
 "56000","Wyoming",7,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),55009,48950,50955,53149,55884,54931,57474,57422,53973,55697,60694,62295,64958,66108,(NA)
 "56000","Wyoming",7,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),38431,36348,37102,37201,37826,38294,38583,39090,38963,39728,42430,41802,41891,45253,(NA)
 "56000","Wyoming",7,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",25704,27404,29426,31215,31810,33642,35921,38907,43805,45634,49451,44499,46395,50630,53596,52836,56252,56122,53421,56377,59195,61863,65558,70522,73248
 "56000","Wyoming",7,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",22463,23898,25465,27252,28577,30592,32744,34859,38507,39925,43653,40914,42254,45972,47751,46956,50073,50085,48096,50609,53615,55699,58628,62022,63328
 "56000","Wyoming",7,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",20184,21566,22979,23867,24616,26018,27757,29663,31550,33548,34161,33487,34006,35845,36878,37723,39564,39653,40452,41471,42888,43862,44286,48858,52403
 "56000","Wyoming",7,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),95.966,96.915,95.754,97.469,97.147,96.718,97.795,97.863,97.741,97.049,92.195,93.823,91.402,91.418,(NA)
 "56000","Wyoming",7,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),90.521,91.160,91.682,95.685,97.147,98.028,100.618,100.912,101.796,102.923,99.863,103.143,101.589,105.698,(NA)
 "56000","Wyoming",7,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",310043,315198,324653,330130,334129,336769,343760,354384,370331,388463,398989,387490,385075,390340,396724,400510,406401,406045,398144,398968,404591,408043,401701,420429,436564
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: October 4, 2023."
"U.S. Bureau of Economic Analysis"
